param_SVM__n_iter,train acc,test acc
1,0.7872382774251473,0.7733205782312924
2,0.8914020112973848,0.877359693877551
4,0.8915778486167117,0.8765518707482993
8,0.8913138971180927,0.8755527210884354
16,0.8862803094528265,0.8699192176870748
32,0.8911469233552629,0.8728316326530611
64,0.8914849116199141,0.8718537414965986
128,0.8914849116199141,0.8718537414965986
256,0.8915778486167117,0.8765518707482993
512,0.8894732753343908,0.8732142857142857
1024,0.8894732753343908,0.8732142857142857
2048,0.8900219034122608,0.8764243197278911
