param_SVM__n_iter,train acc,test acc
1,0.7789929516137811,0.7240963855421687
2,0.7520818592499865,0.73790546802595
4,0.794239509062211,0.7543095458758109
8,0.8079484841887553,0.7518072289156627
16,0.8235590268328526,0.7742354031510658
32,0.8298522288140205,0.7746987951807228
64,0.8422175202743156,0.780259499536608
128,0.8019750449028465,0.77386468952734
256,0.820215125455832,0.7821130676552364
512,0.829950879007239,0.7708989805375347
1024,0.8274097860991673,0.7641334569045413
2048,0.8284439122625592,0.7677479147358665
