iterations,fitness,time,fevals
0,18.0,0.000332198999985,288
10,22.0,0.000639399999983,475
20,23.0,0.000934252999997,661
30,24.0,0.001230612,850
40,24.0,0.00151010499999,1037
50,23.0,0.00178297199997,1225
60,25.0,0.00203746699998,1408
70,25.0,0.00233081399998,1596
80,25.0,0.00259856099999,1783
90,24.0,0.00285666999997,1965
100,25.0,0.00311236999997,2148
110,25.0,0.00340089799997,2338
120,25.0,0.00366201899996,2521
130,26.0,0.00391862199996,2711
140,26.0,0.00416890099996,2894
150,26.0,0.00454446999998,3081
160,26.0,0.00481974599998,3260
170,27.0,0.00508086699998,3450
180,27.0,0.00533987999998,3632
190,28.0,0.00566003199998,3817
200,28.0,0.00593621199999,4001
210,28.0,0.006204862,4191
220,29.0,0.00646869400001,4367
230,29.0,0.00677228100002,4552
240,30.0,0.00705418300004,4740
250,30.0,0.00730958100004,4925
260,30.0,0.00756106400004,5108
270,30.0,0.00786886800006,5287
280,31.0,0.00813179600004,5468
290,31.0,0.00837936400004,5654
300,31.0,0.00863897900004,5843
310,31.0,0.00893353100005,6028
320,31.0,0.00921181900006,6208
330,30.0,0.00948589000006,6393
340,31.0,0.0100087350001,6579
350,32.0,0.0102924440001,6760
360,33.0,0.0105743460001,6947
370,34.0,0.0108667900001,7130
380,34.0,0.011154114,7320
390,33.0,0.011423367,7505
400,33.0,0.0116787650001,7692
410,34.0,0.0119992180001,7880
420,34.0,0.0122597360001,8069
430,34.0,0.0125115210001,8256
440,35.0,0.0127666190001,8442
450,36.0,0.0130464130001,8631
460,36.0,0.0133027150001,8814
470,36.0,0.0135704620001,9003
480,36.0,0.0140887890001,9194
490,36.0,0.0143619570001,9383
500,37.0,0.0146197650001,9572
510,36.0,0.0148736580001,9755
520,37.0,0.0151664030001,9944
530,36.0,0.0154401740001,10130
540,37.0,0.0157015960001,10318
550,36.0,0.0160012680001,10508
560,37.0,0.0162729300001,10691
570,37.0,0.0165358580001,10879
580,37.0,0.0167924620001,11065
590,38.0,0.0172357960001,11245
600,37.0,0.0175192040001,11430
610,38.0,0.0177887580001,11617
620,39.0,0.0180676480001,11796
630,39.0,0.0183393100001,11989
640,39.0,0.0185995280001,12176
650,38.0,0.0188657690001,12368
660,42.0,0.0192579020001,12554
670,42.0,0.0195316730001,12743
680,42.0,0.0198861590001,12930
690,42.0,0.0202325130001,13115
700,43.0,0.0205101980001,13304
710,43.0,0.0208032440001,13490
720,43.0,0.0211703800001,13672
730,43.0,0.0214426450001,13862
740,43.0,0.0216965380001,14051
750,43.0,0.0220585530001,14235
760,42.0,0.0223202760001,14424
770,43.0,0.0225801920001,14610
780,43.0,0.0229148010001,14797
790,43.0,0.0231825480001,14986
800,43.0,0.0234355370001,15174
810,42.0,0.0238029730001,15360
820,42.0,0.0240595770001,15543
830,42.0,0.0243505150001,15725
840,42.0,0.0246263930001,15908
850,43.0,0.0248866100001,16095
860,43.0,0.0251655000001,16283
870,43.0,0.0254525220001,16470
880,43.0,0.0257425560001,16660
890,42.0,0.0260542750001,16844
900,42.0,0.0263099750001,17031
910,42.0,0.0265605550001,17222
920,43.0,0.0268171580001,17406
930,42.0,0.0270921330001,17598
940,42.0,0.0273547600001,17782
950,43.0,0.0276270240001,17965
960,42.0,0.0279218770001,18148
970,43.0,0.0281938400001,18334
980,42.0,0.0284639960001,18519
990,43.0,0.0288217950001,18707
1000,43.0,0.0290871320001,18892
1010,44.0,0.0293557820001,19075
1020,43.0,0.0296458160001,19257
1030,43.0,0.0299165750001,19444
1040,43.0,0.0301698650001,19628
1050,43.0,0.0305279660001,19808
1060,43.0,0.0308005310001,20000
1070,44.0,0.0310520150001,20185
1080,43.0,0.0313441580001,20369
1090,44.0,0.0316841870001,20557
1100,44.0,0.0319296470001,20741
1110,44.0,0.0322142590001,20933
1120,44.0,0.0324720670001,21120
1130,44.0,0.0327286700001,21305
1140,43.0,0.0329909960001,21489
1150,44.0,0.0332409740001,21676
1160,44.0,0.0335201660001,21860
1170,44.0,0.0337939360001,22055
1180,44.0,0.0340421060001,22237
1190,44.0,0.0342935890001,22421
1200,44.0,0.0346715670001,22609
1210,45.0,0.0349338920001,22795
1220,45.0,0.0351898930001,22982
1230,46.0,0.035469386,23164
1240,45.0,0.035720568,23350
1250,46.0,0.035972954,23538
1260,46.0,0.036381351,23728
1270,46.0,0.036648194,23916
1280,45.0,0.036904798,24110
1290,45.0,0.037176159,24300
1300,45.0,0.037432762,24488
1310,45.0,0.037691775,24674
1320,45.0,0.037964039,24855
1330,45.0,0.0382435320001,25042
1340,45.0,0.0385136890001,25230
1350,45.0,0.0387913750001,25411
1360,46.0,0.0390579170001,25599
1370,45.0,0.0393175320001,25790
1380,45.0,0.0418341720001,25976
1390,45.0,0.042116074,26159
