iterations,fitness,time,fevals
0,25.0,0.073783092,1000
10,36.0,0.134238172,2100
20,39.0,0.189370239,3200
30,41.0,0.240767703,4300
40,42.0,0.291549861,5400
50,44.0,0.338670302,6500
60,41.0,0.384957385,7600
70,41.0,0.430034637,8700
80,42.0,0.47586664,9800
90,42.0,0.522186551,10900
100,42.0,0.567860737,12000
110,42.0,0.614416169,13100
120,44.0,0.661863087,14200
130,44.0,0.708128184,15300
140,43.0,0.753210556,16400
150,44.0,0.799503964,17500
160,44.0,0.845885617,18600
170,43.0,0.89108846,19700
180,43.0,0.936667173,20800
190,43.0,0.98133904,21900
200,43.0,1.026321421,23000
210,43.0,1.07230582,24100
220,43.0,1.117472522,25200
230,44.0,1.164681509,26300
240,43.0,1.21172545,27400
250,43.0,1.257488182,28500
260,50.0,1.303165681,29600
270,44.0,1.347949586,30700
280,45.0,1.39231124,31800
290,44.0,1.438819086,32900
300,45.0,1.484874563,34000
310,47.0,1.532698554,35100
320,45.0,1.57878716,36200
330,46.0,1.623834896,37300
340,45.0,1.668489897,38400
350,44.0,1.713970727,39500
360,44.0,1.757959523,40600
370,46.0,1.802948229,41700
380,45.0,1.849180196,42800
390,45.0,1.8938358,43900
400,48.0,1.939765987,45000
410,45.0,1.985058882,46100
420,44.0,2.030047287,47200
430,47.0,2.075860618,48300
440,44.0,2.143880375,49400
450,45.0,2.188036927,50500
460,44.0,2.234971541,51600
470,44.0,2.280326479,52700
480,45.0,2.325833511,53800
490,45.0,2.372849443,54900
500,44.0,2.419005513,56000
510,45.0,2.464799267,57100
520,45.0,2.51093064,58200
530,45.0,2.556881006,59300
540,45.0,2.603747555,60400
550,52.0,2.649843992,61500
560,45.0,2.696885825,62600
570,45.0,2.742201309,63700
580,45.0,2.787130081,64800
590,49.0,2.833173812,65900
600,49.0,2.880184022,67000
610,50.0,2.930265039,68100
620,52.0,2.977697199,69200
630,51.0,3.024164988,70300
640,54.0,3.06981267,71400
650,52.0,3.116945158,72500
660,52.0,3.163072014,73600
670,53.0,3.209122672,74700
680,52.0,3.253938803,75800
690,50.0,3.300596635,76900
700,50.0,3.345524202,78000
710,55.0,3.392182335,79100
720,53.0,3.436757825,80200
730,54.0,3.480870405,81300
740,53.0,3.524924255,82400
750,53.0,3.56834503,83500
760,53.0,3.612709997,84600
