iterations,fitness,time,fevals
0,18.0,0.000269253,11
10,18.0,0.000560793,21
20,20.0,0.00076981,31
30,20.0,0.000968587,41
40,21.0,0.001166461,51
50,21.0,0.001378791,61
60,21.0,0.001599252,71
70,24.0,0.00183658,81
80,24.0,0.002059753,91
90,24.0,0.002287744,101
100,24.0,0.002450983,111
110,24.0,0.002563021,121
120,24.0,0.002689817,131
130,24.0,0.002791012,141
140,24.0,0.002913893,151
150,24.0,0.003312652,161
160,24.0,0.003421076,171
170,24.0,0.00351414,181
180,24.0,0.003622564,191
190,24.0,0.003717134,201
200,24.0,0.003810801,211
210,24.0,0.003895733,221
220,24.0,0.004006867,231
230,28.0,0.00411499,241
240,29.0,0.004199018,251
250,29.0,0.00431196,261
260,29.0,0.004407132,271
270,29.0,0.004489654,281
280,29.0,0.004603499,291
290,29.0,0.004708007,301
300,29.0,0.00482878,311
310,29.0,0.004922145,321
320,29.0,0.005081167,331
330,29.0,0.005192301,341
340,30.0,0.005246212,351
350,32.0,0.005369092,361
360,32.0,0.005446494,371
370,32.0,0.005526005,381
380,32.0,0.005620876,391
390,32.0,0.005705808,401
400,32.0,0.005760622,411
410,32.0,0.005863324,421
420,33.0,0.005915729,431
430,33.0,0.005971447,441
440,33.0,0.006014817,451
450,33.0,0.006058488,461
460,33.0,0.006106375,471
470,33.0,0.006148841,481
480,33.0,0.006192512,491
490,33.0,0.0062663,501
500,33.0,0.006325632,511
510,33.0,0.006407552,521
520,34.0,0.006470197,531
530,34.0,0.006514471,541
540,34.0,0.006562358,551
550,34.0,0.006612354,561
560,35.0,0.00667259,571
570,35.0,0.006728609,581
580,35.0,0.006782219,591
590,35.0,0.006835226,601
600,35.0,0.006957806,611
610,35.0,0.007020752,621
620,35.0,0.007062314,631
630,35.0,0.007105985,641
640,35.0,0.007146946,651
650,35.0,0.00718369,661
660,35.0,0.007230071,671
670,35.0,0.007273742,681
680,35.0,0.007320124,691
690,35.0,0.007377347,701
700,35.0,0.007418909,711
710,35.0,0.007458363,721
720,35.0,0.007500227,731
730,35.0,0.007533959,741
740,35.0,0.007558957,751
750,35.0,0.007614072,761
760,35.0,0.007651719,771
770,35.0,0.007681235,781
780,35.0,0.007730628,791
790,35.0,0.00776436,801
800,35.0,0.007792369,811
810,35.0,0.007850496,821
820,35.0,0.007887541,831
830,35.0,0.007913141,841
840,35.0,0.007970365,851
850,35.0,0.008006506,861
860,35.0,0.008036021,871
870,35.0,0.008089631,881
880,35.0,0.008120351,891
890,35.0,0.008146554,901
900,35.0,0.008190526,911
910,35.0,0.008231787,921
920,35.0,0.008272446,931
930,35.0,0.008304672,941
940,35.0,0.008336597,951
950,35.0,0.008376352,961
960,35.0,0.008407674,971
970,35.0,0.008432973,981
980,35.0,0.008477246,991
990,35.0,0.00851399,1001
1000,35.0,0.008588682,1011
1010,35.0,0.008625124,1021
1020,35.0,0.008663374,1031
1030,35.0,0.008703129,1041
1040,35.0,0.008737463,1051
1050,35.0,0.008773303,1061
1060,35.0,0.008813962,1071
1070,35.0,0.008844983,1081
1080,35.0,0.008871185,1091
1090,35.0,0.008912446,1101
1100,35.0,0.008945274,1111
1110,35.0,0.008970874,1121
1120,35.0,0.00902087,1131
1130,35.0,0.009053699,1141
1140,36.0,0.009082009,1151
1150,36.0,0.009123572,1161
1160,37.0,0.009154894,1171
1170,37.0,0.009185915,1181
1180,37.0,0.009286509,1191
1190,37.0,0.009346142,1201
1200,37.0,0.009373248,1211
1210,37.0,0.00945577,1221
1220,37.0,0.009486188,1231
1230,37.0,0.009511788,1241
1240,37.0,0.009595816,1251
1250,37.0,0.009648522,1261
1260,37.0,0.009677134,1271
1270,37.0,0.009722913,1281
1280,37.0,0.009756946,1291
1290,37.0,0.009800316,1301
1300,37.0,0.009834952,1311
1310,37.0,0.009877418,1321
1320,37.0,0.009915969,1331
1330,37.0,0.00994187,1341
1340,37.0,0.009968072,1351
1350,42.0,0.01000602,1361
1360,43.0,0.010036137,1371
1370,43.0,0.010075291,1381
1380,43.0,0.010127696,1391
1390,43.0,0.010153898,1401
1400,43.0,0.010191545,1411
1410,43.0,0.010222265,1421
1420,44.0,0.010283103,1431
1430,45.0,0.010322256,1441
1440,45.0,0.010351772,1451
1450,45.0,0.010390022,1461
1460,45.0,0.01042014,1471
1470,45.0,0.010440018,1481
1480,45.0,0.010477364,1491
1490,45.0,0.01050688,1501
1500,45.0,0.010536998,1511
1510,45.0,0.010601751,1521
1520,45.0,0.010623134,1531
1530,45.0,0.010643011,1541
1540,45.0,0.010681561,1551
1550,45.0,0.010706258,1561
1560,45.0,0.010730653,1571
