iterations,fitness,time,fevals
0,540.0,0.003241273,643
10,543.0,0.00621299199999,1194
20,544.0,0.00891003799998,1744
30,544.0,0.011711291,2296
40,539.0,0.014085173,2840
50,537.0,0.016648496,3391
60,541.0,0.018857934,3942
70,547.0,0.020961358,4491
80,550.0,0.023271691,5041
90,550.0,0.025232959,5583
100,560.0,0.027459264,6131
110,554.0,0.031234525,6680
120,556.0,0.03355811,7231
130,550.0,0.035586842,7788
140,556.0,0.037501126,8333
150,558.0,0.039566,8879
160,560.0,0.041468539,9426
170,558.0,0.043808388,9969
180,556.0,0.045625694,10518
190,556.0,0.047435169,11066
200,564.0,0.049168747,11603
210,560.0,0.050849318,12158
220,558.0,0.053735503,12710
230,556.0,0.055493176,13259
240,560.0,0.057276448,13812
250,560.0,0.059176276,14369
260,560.0,0.060997196,14911
270,562.0,0.062923528,15453
280,560.0,0.064654094,16008
290,560.0,0.066362072,16557
300,558.0,0.068108299,17102
310,562.0,0.069907835,17646
320,566.0,0.074422789,18197
330,570.0,0.076183172,18738
340,566.0,0.077892957,19285
350,566.0,0.079766884,19828
360,562.0,0.081544434,20381
370,564.0,0.083699058,20928
380,564.0,0.085453418,21468
390,566.0,0.087179165,22014
400,566.0,0.088948885,22564
410,566.0,0.090676139,23111
420,566.0,0.093965299,23649
430,566.0,0.095612138,24195
440,568.0,0.097266507,24745
450,570.0,0.099088933,25278
460,566.0,0.100815584,25828
470,568.0,0.102494951,26373
480,570.0,0.104205339,26917
490,570.0,0.105897354,27464
500,574.0,0.107966745,28017
510,576.0,0.109656351,28555
520,576.0,0.111716104,29103
530,574.0,0.115181152,29659
540,574.0,0.117181273,30205
550,574.0,0.118904611,30743
560,572.0,0.120631865,31295
570,572.0,0.122410921,31841
580,570.0,0.124117092,32386
590,570.0,0.126094624,32934
600,574.0,0.127836335,33483
610,572.0,0.129537387,34043
620,570.0,0.131371257,34588
630,570.0,0.132984063,35131
640,568.0,0.13480438,35675
650,572.0,0.1364976,36227
660,570.0,0.138114924,36780
670,572.0,0.139946385,37334
680,570.0,0.141720622,37881
690,570.0,0.143335235,38420
700,572.0,0.144959486,38957
710,572.0,0.146616566,39507
720,572.0,0.14870192,40060
730,570.0,0.150453268,40603
740,574.0,0.152405803,41148
750,574.0,0.155982287,41696
760,576.0,0.157911931,42245
770,574.0,0.159643401,42792
780,576.0,0.161571239,43345
790,576.0,0.163301805,43893
800,576.0,0.16507544,44437
810,576.0,0.167163806,44978
820,576.0,0.168883831,45528
830,580.0,0.17058428,46074
840,578.0,0.172325689,46626
850,576.0,0.174080952,47172
860,578.0,0.176326533,47723
870,576.0,0.178086615,48268
880,576.0,0.179789172,48805
890,576.0,0.181626958,49350
900,579.0,0.183331322,49892
910,578.0,0.185518775,50436
920,576.0,0.187167421,50985
930,577.0,0.188738062,51529
940,577.0,0.190629759,52075
950,577.0,0.192217266,52619
960,578.0,0.196910215,53165
970,577.0,0.198765771,53705
980,577.0,0.2012797,54260
990,576.0,0.202990388,54805
1000,577.0,0.204751374,55354
1010,575.0,0.206546693,55899
1020,577.0,0.208265514,56447
1030,577.0,0.210546633,56996
1040,578.0,0.212357011,57548
1050,578.0,0.214124623,58091
1060,576.0,0.215915124,58633
1070,579.0,0.217609549,59180
1080,577.0,0.219610272,59726
1090,576.0,0.221303492,60267
1100,576.0,0.223113569,60813
1110,575.0,0.224772455,61361
1120,578.0,0.226355143,61911
1130,580.0,0.227954999,62453
1140,578.0,0.229589189,63003
1150,578.0,0.231771522,63544
1160,578.0,0.233507811,64090
1170,576.0,0.236913829,64636
1180,574.0,0.238682344,65185
1190,572.0,0.240379781,65733
1200,574.0,0.242175703,66285
1210,574.0,0.243858382,66834
1220,572.0,0.246275031,67377
1230,574.0,0.248053183,67925
1240,578.0,0.249836455,68468
1250,576.0,0.251459802,69018
1260,577.0,0.253276807,69570
1270,576.0,0.254993821,70114
1280,578.0,0.256782213,70655
1290,576.0,0.258506153,71212
1300,576.0,0.260499346,71760
1310,574.0,0.262218167,72310
1320,574.0,0.263983369,72862
1330,574.0,0.265683215,73410
1340,576.0,0.267380652,73965
1350,576.0,0.269101882,74505
1360,578.0,0.2708198,75047
1370,578.0,0.273010867,75599
1380,576.0,0.276682222,76151
1390,574.0,0.278762456,76697
1400,574.0,0.280507178,77249
1410,576.0,0.28220341,77793
1420,576.0,0.28391952,78341
1430,578.0,0.285709117,78890
1440,580.0,0.287583948,79438
1450,576.0,0.289295842,79984
1460,580.0,0.29126976,80535
1470,578.0,0.292902443,81075
1480,576.0,0.294703485,81620
1490,576.0,0.296491878,82169
1500,576.0,0.298222445,82717
1510,574.0,0.300274368,83265
1520,576.0,0.302008849,83811
1530,576.0,0.304221902,84355
1540,576.0,0.305984695,84909
1550,576.0,0.307785436,85460
1560,576.0,0.309584671,86011
1570,578.0,0.311364932,86557
1580,576.0,0.313961384,87116
1590,574.0,0.317151156,87667
1600,574.0,0.319272651,88217
1610,576.0,0.3209478,88763
1620,574.0,0.322689209,89311
1630,574.0,0.324463145,89857
1640,574.0,0.326199735,90404
1650,572.0,0.328385381,90965
1660,574.0,0.330044267,91510
1670,578.0,0.33167153,92060
1680,576.0,0.333421673,92605
1690,574.0,0.335007975,93157
1700,576.0,0.337361377,93708
1710,576.0,0.339057308,94261
1720,574.0,0.340717098,94814
1730,574.0,0.342435015,95360
1740,576.0,0.344110165,95910
1750,574.0,0.346013908,96462
1760,576.0,0.347698394,97008
1770,576.0,0.349659663,97563
1780,576.0,0.351336319,98114
1790,574.0,0.353031346,98658
1800,576.0,0.356670174,99206
1810,574.0,0.358260391,99755
1820,574.0,0.359893376,100292
1830,576.0,0.361677251,100848
1840,576.0,0.363865005,101399
1850,576.0,0.365638339,101954
1860,576.0,0.36726018,102503
1870,576.0,0.368887744,103054
1880,578.0,0.370526752,103598
1890,578.0,0.373022611,104139
1900,576.0,0.374614636,104685
1910,574.0,0.376476215,105231
1920,574.0,0.378136607,105781
1930,572.0,0.37971779,106329
1940,574.0,0.381412516,106883
1950,576.0,0.38326265,107428
1960,574.0,0.385045923,107979
1970,576.0,0.38707586,108529
1980,574.0,0.38884046,109077
1990,574.0,0.390865879,109626
2000,574.0,0.39256934,110175
2010,572.0,0.394463145,110731
2020,572.0,0.397684541,111273
2030,572.0,0.400257501,111826
2040,574.0,0.401978129,112374
2050,576.0,0.403965901,112927
2060,574.0,0.405667554,113467
2070,574.0,0.407760437,114000
2080,572.0,0.409477751,114549
