iterations,fitness,time,fevals
0,571.0,9.98119688,1000
10,609.0,19.296643677,2100
20,651.0,27.719248864,3200
30,691.0,35.225236877,4300
40,707.0,42.271883566,5400
50,711.0,49.097633348,6500
60,715.0,56.001353795,7600
70,717.0,62.838777823,8700
80,721.0,69.590516823,9800
90,719.0,76.274180347,10900
100,721.0,83.016884019,12000
110,721.0,89.672498271,13100
120,719.0,96.294772463,14200
130,719.0,103.001105023,15300
140,721.0,109.585277839,16400
150,721.0,116.351846824,17500
160,721.0,122.889343737,18600
170,723.0,129.63833178,19700
180,721.0,136.373785203,20800
190,721.0,143.002987986,21900
200,723.0,149.59161311,23000
210,725.0,156.440515017,24100
220,729.0,163.142839204,25200
230,729.0,169.697054185,26300
240,731.0,176.196532847,27400
250,731.0,182.763688526,28500
260,729.0,189.391315849,29600
270,731.0,196.016301242,30700
280,731.0,202.680352984,31800
290,731.0,209.516231067,32900
300,731.0,215.989947297,34000
310,733.0,222.719265129,35100
320,731.0,229.29765684,36200
330,733.0,235.998125171,37300
340,733.0,242.737224048,38400
350,737.0,249.458294132,39500
360,739.0,256.18768244,40600
370,743.0,263.041501673,41700
380,745.0,269.721552873,42800
390,745.0,276.463260249,43900
400,747.0,283.193907479,45000
410,749.0,289.814267386,46100
420,747.0,296.400976117,47200
430,745.0,303.156078367,48300
440,743.0,309.761573954,49400
450,745.0,316.39654218,50500
460,747.0,323.309682257,51600
470,745.0,329.909173869,52700
480,745.0,336.459518417,53800
490,745.0,343.227087312,54900
500,745.0,349.731028823,56000
510,747.0,356.215625697,57100
520,747.0,362.837236696,58200
530,747.0,369.611853146,59300
540,747.0,376.105946451,60400
550,747.0,382.891927838,61500
560,749.0,389.536519893,62600
570,749.0,396.421328796,63700
580,749.0,403.018108304,64800
590,749.0,409.462944614,65900
600,751.0,416.052925037,67000
610,749.0,422.758691383,68100
620,749.0,429.247623408,69200
630,749.0,435.734157456,70300
640,749.0,442.429378671,71400
650,749.0,448.916005482,72500
660,749.0,455.376518689,73600
670,749.0,461.766734934,74700
680,749.0,468.295499202,75800
690,749.0,474.815066711,76900
700,749.0,481.484361052,78000
710,749.0,488.100030118,79100
720,749.0,494.619980725,80200
730,749.0,501.300872512,81300
740,749.0,507.792893112,82400
750,749.0,514.317206277,83500
760,749.0,520.876103365,84600
770,749.0,527.342428095,85700
780,749.0,533.92148059,86800
790,749.0,540.403931272,87900
800,749.0,547.219852424,89000
810,751.0,553.765242901,90100
820,749.0,560.45218143,91200
830,749.0,566.944051442,92300
840,749.0,573.396606632,93400
850,749.0,579.942273891,94500
860,749.0,586.625447099,95600
870,751.0,593.157460471,96700
880,751.0,599.703791225,97800
890,751.0,606.445697679,98900
900,751.0,612.981533597,100000
910,751.0,619.705380538,101100
920,753.0,626.278442309,102200
930,753.0,633.024793241,103300
940,755.0,639.71097973,104400
950,753.0,646.254129746,105500
960,755.0,652.808578139,106600
970,755.0,659.346413877,107700
980,753.0,666.182006143,108800
990,753.0,672.804254133,109900
1000,753.0,679.624116796,111000
1010,757.0,686.401815498,112100
1020,755.0,693.054281239,113200
1030,755.0,699.739888865,114300
1040,755.0,706.168490799,115400
1050,755.0,712.836841852,116500
