iterations,fitness,time,fevals
0,518.0,3.28280000002e-05,11
10,520.0,7.13790000004e-05,21
20,524.0,0.000105111,31
30,528.0,0.000154504000001,41
40,530.0,0.000195464000001,51
50,530.0,0.000231605000001,61
60,530.0,0.000262626,71
70,532.0,0.000334005,81
80,536.0,0.00037376,91
90,538.0,0.000413816,101
100,542.0,0.000446042000001,111
110,542.0,0.000497243000001,121
120,542.0,0.000537300000001,131
130,542.0,0.000574344000001,141
140,544.0,0.000605065000001,151
150,544.0,0.000646326000001,161
160,546.0,0.000680058000001,171
170,550.0,0.000724331000001,181
180,552.0,0.000794204000001,191
190,558.0,0.000833358000001,201
200,562.0,0.000874619000001,211
210,566.0,0.000914676000001,221
220,566.0,0.000943287000001,231
230,566.0,0.000985151000001,241
240,566.0,0.001015269,251
250,568.0,0.001055928,261
260,568.0,0.001087853,271
270,570.0,0.001131524,281
280,572.0,0.001164955,291
290,572.0,0.001202602,301
300,572.0,0.001240551,311
310,574.0,0.001283318,321
320,576.0,0.001313435,331
330,580.0,0.001344457,341
340,580.0,0.001374273,351
350,582.0,0.001426377,361
360,582.0,0.001459507,371
370,582.0,0.001487817,381
380,584.0,0.001542631,391
390,586.0,0.001582387,401
400,588.0,0.001610396,411
410,590.0,0.001638104,421
420,592.0,0.00168057,431
430,592.0,0.001714001,441
440,594.0,0.001738096,451
450,594.0,0.001773334,461
460,596.0,0.001814896,471
470,598.0,0.001845616,481
480,600.0,0.001873023,491
490,602.0,0.001902237,501
500,604.0,0.001942595,511
510,606.0,0.001975423,521
520,606.0,0.002003734,531
530,606.0,0.002036261,541
540,606.0,0.002093485,551
550,606.0,0.002127217,561
560,608.0,0.002155527,571
570,612.0,0.002183236,581
580,614.0,0.00222751,591
590,616.0,0.00226094,601
600,616.0,0.002289251,611
610,616.0,0.002318465,621
620,618.0,0.002360931,631
630,620.0,0.002392253,641
640,620.0,0.002421166,651
650,624.0,0.002449175,661
660,626.0,0.002493448,671
670,628.0,0.002524168,681
680,628.0,0.002553081,691
690,630.0,0.002590126,701
700,630.0,0.002636206,711
710,632.0,0.002668432,721
720,634.0,0.002698851,731
730,634.0,0.002744028,741
740,638.0,0.002792818,751
750,638.0,0.002827152,761
760,642.0,0.002925637,771
770,644.0,0.002965392,781
780,644.0,0.002996715,791
