k,GMM,Kmeans
2,0.20798514391829154,0.1990714948932219
3,0.29303621169916433,0.29099350046425254
4,0.39721448467966575,0.3881151346332405
5,0.44716805942432686,0.427669452181987
6,0.5454038997214484,0.5175487465181059
7,0.6235840297121634,0.5667595171773445
8,0.6863509749303621,0.6230269266480966
9,0.6885793871866295,0.6609099350046426
10,0.7580315691736305,0.683008356545961
15,0.8159702878365831,0.7000928505106778
20,0.8131847725162489,0.7088207985143918
25,0.8167130919220056,0.7598885793871867
30,0.8833797585886722,0.8055710306406685
35,0.8960074280408542,0.8057567316620241
40,0.8952646239554317,0.8254410399257196
