k,GMM,Kmeans
2,0.18700155249510517,0.1398255752739339
3,0.2998455492270053,0.2627558226769536
4,0.4484944818298378,0.36324508804773287
5,0.4378958596713476,0.40867055680909853
6,0.536945922234658,0.47480555187494833
7,0.5985452293145009,0.5177157881465427
8,0.6601482679128472,0.5501680437292242
9,0.682766287014453,0.5706163081286826
10,0.7093693198413157,0.5875405315961973
15,0.6799137205864787,0.5568222020144532
20,0.6425384537228526,0.5245411576581749
25,0.6116448328846009,0.5260504980924832
30,0.6180797082746625,0.5201993102860645
35,0.6050418856813063,0.49588308561533184
40,0.5757803983196613,0.48875831175530393
