k,type,score,label
2,Kmeans,0.267315,0
2,Kmeans,0.146074,0
2,Kmeans,0.33781,0
2,Kmeans,0.268666,0
2,Kmeans,0.259741,0
2,Kmeans,0.184942,0
2,Kmeans,0.151633,0
2,Kmeans,0.227088,0
2,Kmeans,0.307115,0
2,Kmeans,0.324807,0
2,Kmeans,0.248956,0
2,Kmeans,0.37458,0
2,Kmeans,0.307507,0
2,Kmeans,0.306791,0
2,Kmeans,0.260965,0
2,Kmeans,0.344362,0
2,Kmeans,0.26575,1
2,Kmeans,0.178234,0
2,Kmeans,0.084555,0
2,Kmeans,0.282789,0
2,Kmeans,0.335385,0
2,Kmeans,0.226479,1
2,Kmeans,0.269027,0
2,Kmeans,0.245736,0
2,Kmeans,0.119391,0
2,Kmeans,0.228123,0
2,Kmeans,0.296493,0
2,Kmeans,0.150611,0
2,Kmeans,0.206699,1
2,Kmeans,0.225385,0
2,Kmeans,0.334901,0
2,Kmeans,0.245211,0
2,Kmeans,0.281101,1
2,Kmeans,0.363433,0
2,Kmeans,0.233702,0
2,Kmeans,0.109781,0
2,Kmeans,0.217296,0
2,Kmeans,0.293902,0
2,Kmeans,0.181231,0
2,Kmeans,0.266487,0
2,Kmeans,0.179516,0
2,Kmeans,0.293146,0
2,Kmeans,0.359917,0
2,Kmeans,0.192996,0
2,Kmeans,0.252236,0
2,Kmeans,0.139031,0
2,Kmeans,0.149095,1
2,Kmeans,0.178293,0
2,Kmeans,0.349561,1
2,Kmeans,0.197027,0
2,Kmeans,0.037829,0
2,Kmeans,0.350613,1
2,Kmeans,0.203196,0
2,Kmeans,0.210025,0
2,Kmeans,0.29207,0
2,Kmeans,0.1968,0
2,Kmeans,0.332561,0
2,Kmeans,0.21411,0
2,Kmeans,0.345774,0
2,Kmeans,0.30992,1
2,Kmeans,0.338396,0
2,Kmeans,0.262785,1
2,Kmeans,0.317322,0
2,Kmeans,0.257989,0
2,Kmeans,0.20196,0
2,Kmeans,0.240049,0
2,Kmeans,0.296494,1
2,Kmeans,0.135131,0
2,Kmeans,0.217666,1
2,Kmeans,0.297377,0
2,Kmeans,0.199907,0
2,Kmeans,0.127215,0
2,Kmeans,0.332833,0
2,Kmeans,0.179648,0
2,Kmeans,0.175505,0
2,Kmeans,0.198522,0
2,Kmeans,0.333561,0
2,Kmeans,0.235983,0
2,Kmeans,0.249327,0
2,Kmeans,0.292529,0
2,Kmeans,0.140095,0
2,Kmeans,0.253525,0
2,Kmeans,0.276681,1
2,Kmeans,0.321746,0
2,Kmeans,0.258407,1
2,Kmeans,0.310578,0
2,Kmeans,0.250386,0
2,Kmeans,0.182368,1
2,Kmeans,0.199033,0
2,Kmeans,0.129641,0
2,Kmeans,0.286027,1
2,Kmeans,0.130284,0
2,Kmeans,0.111768,0
2,Kmeans,0.339012,1
2,Kmeans,0.128177,0
2,Kmeans,0.26522,0
2,Kmeans,0.163481,0
2,Kmeans,0.333269,0
2,Kmeans,0.32366,0
2,Kmeans,0.203803,0
2,Kmeans,0.142158,0
2,Kmeans,0.344651,0
2,Kmeans,0.299516,0
2,Kmeans,0.205361,0
2,Kmeans,0.245304,0
2,Kmeans,0.122877,0
2,Kmeans,0.189452,0
2,Kmeans,0.178303,0
2,Kmeans,0.09028,0
2,Kmeans,0.264179,0
2,Kmeans,0.148702,0
2,Kmeans,0.209602,0
2,Kmeans,0.168638,0
2,Kmeans,0.235522,1
2,Kmeans,0.329583,1
2,Kmeans,0.171006,0
2,Kmeans,0.2789,0
2,Kmeans,0.327894,0
2,Kmeans,0.324256,0
2,Kmeans,0.253641,1
2,Kmeans,0.264843,0
2,Kmeans,0.209733,0
2,Kmeans,0.179929,0
2,Kmeans,0.194423,0
2,Kmeans,0.176895,0
2,Kmeans,0.22916,0
2,Kmeans,0.357148,1
2,Kmeans,0.284618,0
2,Kmeans,0.132911,0
2,Kmeans,0.181091,0
2,Kmeans,0.331854,0
2,Kmeans,0.276599,0
2,Kmeans,0.21014,0
2,Kmeans,0.270742,1
2,Kmeans,0.153258,0
2,Kmeans,0.163362,0
2,Kmeans,0.330995,0
2,Kmeans,0.190978,0
2,Kmeans,0.249043,0
2,Kmeans,0.276637,0
2,Kmeans,0.327156,1
2,Kmeans,0.226776,1
2,Kmeans,0.189397,1
2,Kmeans,0.372084,0
2,Kmeans,0.363023,1
2,Kmeans,0.228058,0
2,Kmeans,0.135537,0
2,Kmeans,0.241305,1
2,Kmeans,0.26618,0
2,Kmeans,0.12475,0
2,Kmeans,0.282545,1
2,Kmeans,0.374631,0
2,Kmeans,0.159436,0
2,Kmeans,0.237703,1
2,Kmeans,0.034052,1
2,Kmeans,0.160554,0
2,Kmeans,0.162671,0
2,Kmeans,0.29673,1
