k,GMM,Kmeans
2,0.1889895300416921,0.23407516132788894
3,0.2190851289035029,0.22243770594503282
4,0.21549109863790014,0.2593089597582439
5,0.24147811111312792,0.28013804056210967
6,0.25555814486598877,0.2953094535541178
7,0.22871407981416086,0.3245738317386766
8,0.2553207489402848,0.3098500425231193
9,0.2673392739472999,0.31856155127642766
10,0.2730053151752755,0.3251240015049444
15,0.22467445309186726,0.2830358729370527
20,0.20201825607125729,0.266569736616791
25,0.19966088282201974,0.2620479230977507
30,0.19257598852046126,0.268226543953841
35,0.19972658610193333,0.2533813851411768
40,0.20482852160030207,0.2474095967387614
