k,GMM,Kmeans
2,0.9242614707730987,0.9864864864864865
3,0.9556882463859208,0.9833438089252042
4,0.9176618478944061,0.9563167818981773
5,0.9824010056568196,0.9556882463859208
6,0.975801382778127,0.9500314267756128
7,0.9748585795097423,0.9522313010685104
8,0.9770584538026399,0.9516027655562539
9,0.9817724701445631,0.9443746071653049
10,0.9849151477058454,0.9434318038969202
15,0.9855436832181018,0.9516027655562539
20,0.9704588309239472,0.9585166561910748
25,0.9811439346323068,0.9670018856065368
30,0.9846008799497171,0.9714016341923318
35,0.9792583280955374,0.9773727215587681
40,0.9792583280955374,0.9720301697045883
