k,GMM,Kmeans
2,0.5941430827555428,0.8733460421039426
3,0.3903640035742586,0.4527941912508669
4,0.30133108618523974,0.33170927567606306
5,0.3585906258999681,0.2560039344566077
6,0.30509929710105615,0.24334969171430873
7,0.2811525306306067,0.21979882012396204
8,0.2820889261304242,0.201940966262523
9,0.2589942423309433,0.1772167346047091
10,0.24742401720374235,0.17030530826445472
15,0.19994891174999568,0.15463810025847496
20,0.17558420476911327,0.1446026440239662
25,0.1625764314904449,0.13948805146849186
30,0.1546007272508126,0.13632405239273446
35,0.14713791123879896,0.13809326663581178
40,0.1401597248030511,0.1277803536061538
