k,type,score,label
2,Kmeans,0.099485,1
2,Kmeans,0.383598,0
2,Kmeans,0.350445,0
2,Kmeans,0.184233,0
2,Kmeans,0.259982,0
2,Kmeans,0.238193,0
2,Kmeans,0.111733,0
2,Kmeans,0.205297,0
2,Kmeans,0.228412,0
2,Kmeans,0.332169,0
2,Kmeans,0.277295,0
2,Kmeans,0.331871,0
2,Kmeans,0.353527,0
2,Kmeans,0.308685,0
2,Kmeans,0.116618,1
2,Kmeans,-0.085021,1
2,Kmeans,0.170848,1
2,Kmeans,0.120009,0
2,Kmeans,0.321908,0
2,Kmeans,0.36063,0
2,Kmeans,0.31251,0
2,Kmeans,0.112861,0
2,Kmeans,0.195091,0
2,Kmeans,0.224947,0
2,Kmeans,0.075155,1
2,Kmeans,0.135645,0
2,Kmeans,0.343609,0
2,Kmeans,0.233696,0
2,Kmeans,0.112039,0
2,Kmeans,0.288072,0
2,Kmeans,0.296315,0
2,Kmeans,0.35429,0
2,Kmeans,0.284264,0
2,Kmeans,0.354307,0
2,Kmeans,0.201824,0
2,Kmeans,0.282228,0
2,Kmeans,0.156801,1
2,Kmeans,0.356154,0
2,Kmeans,0.334042,0
2,Kmeans,0.083871,1
2,Kmeans,0.255149,0
2,Kmeans,0.336128,0
2,Kmeans,0.347822,0
2,Kmeans,0.221311,1
2,Kmeans,0.174892,1
2,Kmeans,0.229143,0
2,Kmeans,0.12463,0
2,Kmeans,0.071274,1
2,Kmeans,-0.027333,1
2,Kmeans,0.301965,0
2,Kmeans,0.103625,1
2,Kmeans,0.204425,0
2,Kmeans,0.23636,0
2,Kmeans,0.236915,0
2,Kmeans,0.312664,0
2,Kmeans,0.265976,0
2,Kmeans,0.328834,0
2,Kmeans,0.160732,0
2,Kmeans,0.285326,0
2,Kmeans,0.113294,1
2,Kmeans,0.060101,1
2,Kmeans,0.222073,0
2,Kmeans,0.134099,0
2,Kmeans,0.180692,1
2,Kmeans,0.261609,0
2,Kmeans,0.333259,0
2,Kmeans,0.034928,1
2,Kmeans,0.160729,1
2,Kmeans,0.100498,0
2,Kmeans,0.057661,1
2,Kmeans,0.07361,1
