k,GMM,Kmeans
2,0.1926091469127177,0.21607211265188425
3,0.16343503476358506,0.18100278375813317
4,0.17226853882701124,0.21089109032111156
5,0.16700633169858037,0.19672003049517744
6,0.18354550179724394,0.20739238540804208
7,0.17288455472054332,0.20611420150180743
8,0.172718397084014,0.20132949444148113
9,0.14599411921163138,0.18850767539301527
10,0.11619210899172944,0.18052103645032475
15,0.08112293237316559,0.16152173839798484
20,0.07900087255309571,0.1624618766018378
25,0.06516291585389619,0.15481779877142784
30,0.05630355697176131,0.1583817420835148
35,0.045756755950065724,0.15679767645814022
40,0.05048039367688326,0.1532449800734006
