k,GMM,Kmeans
2,0.20594243268337975,0.20668523676880224
3,0.2987929433611885,0.29842154131847726
4,0.39721448467966575,0.3801299907149489
5,0.41299907149489323,0.4352831940575673
6,0.48579387186629525,0.5342618384401114
7,0.5879294336118849,0.5894150417827299
8,0.667966573816156,0.5970287836583101
9,0.6833797585886723,0.6146703806870938
10,0.6809656453110492,0.6904363974001857
15,0.7727019498607243,0.6950789229340761
20,0.8503249767873723,0.7554317548746519
25,0.8386258124419684,0.8189415041782729
30,0.864066852367688,0.7979572887650882
35,0.87669452181987,0.8258124419684308
40,0.8848653667595172,0.8428969359331476
