k,GMM,Kmeans
2,0.15660979099718195,0.18380935483503338
3,0.31720109831174614,0.28345530129162594
4,0.42634091758808623,0.3853800527108456
5,0.43678765306165585,0.43680156278810894
6,0.4909896764110248,0.5122241328160283
7,0.5811397148925261,0.5609257814526765
8,0.6467210346024462,0.5683966917638908
9,0.6682140927727706,0.5742602087363943
10,0.671084185874821,0.6231278041879194
15,0.6360477733761809,0.5574032148040179
20,0.6240523096495157,0.5557216078712489
25,0.5979996876340774,0.555541607634417
30,0.5803990866124838,0.5182959764099359
35,0.5652695056798246,0.511039368349387
40,0.5486910829409785,0.5006766273256248
