k,type,score,label
2,Kmeans,0.354974,1
2,Kmeans,0.200087,0
2,Kmeans,0.420845,1
2,Kmeans,0.362981,1
2,Kmeans,0.462274,1
2,Kmeans,0.216836,1
2,Kmeans,0.238195,0
2,Kmeans,0.45063,1
2,Kmeans,0.45306,1
2,Kmeans,0.416604,1
2,Kmeans,0.339651,1
2,Kmeans,0.499146,1
2,Kmeans,0.333626,1
2,Kmeans,0.486981,1
2,Kmeans,0.345045,1
2,Kmeans,0.497219,1
2,Kmeans,0.463384,0
2,Kmeans,0.461898,1
2,Kmeans,0.325846,0
2,Kmeans,0.43918,1
2,Kmeans,0.491473,1
2,Kmeans,0.378077,0
2,Kmeans,0.431969,1
2,Kmeans,0.40903,1
2,Kmeans,0.462709,1
2,Kmeans,0.408044,1
2,Kmeans,0.379159,1
2,Kmeans,0.229312,1
2,Kmeans,0.125513,0
2,Kmeans,0.361612,1
2,Kmeans,0.465904,1
2,Kmeans,0.209499,1
2,Kmeans,0.45963,0
2,Kmeans,0.469009,1
2,Kmeans,0.379021,1
2,Kmeans,0.235392,0
2,Kmeans,0.29494,1
2,Kmeans,0.399198,1
2,Kmeans,0.083935,0
2,Kmeans,0.356737,1
2,Kmeans,0.170893,0
2,Kmeans,0.352441,1
2,Kmeans,0.483123,1
2,Kmeans,0.377229,1
2,Kmeans,0.344413,1
2,Kmeans,0.099722,0
2,Kmeans,0.200108,0
2,Kmeans,0.18472,0
2,Kmeans,0.444518,0
2,Kmeans,0.394732,1
2,Kmeans,0.362628,0
2,Kmeans,0.373903,0
2,Kmeans,0.029161,1
2,Kmeans,0.245436,1
2,Kmeans,0.476653,1
2,Kmeans,0.364189,1
2,Kmeans,0.41479,1
2,Kmeans,0.467664,1
2,Kmeans,0.352669,1
2,Kmeans,0.453598,0
2,Kmeans,0.486083,1
2,Kmeans,0.371032,0
2,Kmeans,0.47298,1
2,Kmeans,0.419746,1
2,Kmeans,0.239811,1
2,Kmeans,0.394007,1
2,Kmeans,0.244141,0
2,Kmeans,-0.00828,0
2,Kmeans,0.401211,0
2,Kmeans,0.354661,1
2,Kmeans,-0.020264,0
2,Kmeans,0.272737,0
2,Kmeans,0.452848,1
2,Kmeans,0.105163,0
2,Kmeans,0.35321,1
2,Kmeans,0.292395,1
2,Kmeans,0.309787,1
2,Kmeans,0.225586,1
2,Kmeans,0.406195,1
2,Kmeans,0.251095,1
2,Kmeans,0.121773,0
2,Kmeans,0.326892,1
2,Kmeans,0.376074,0
2,Kmeans,0.476921,1
2,Kmeans,0.192773,0
2,Kmeans,0.40817,1
2,Kmeans,0.432021,1
2,Kmeans,0.459099,0
2,Kmeans,0.130785,0
2,Kmeans,0.129298,0
2,Kmeans,0.458547,0
2,Kmeans,-0.010694,0
2,Kmeans,0.314554,1
2,Kmeans,0.362865,0
2,Kmeans,0.279387,0
2,Kmeans,0.390563,1
2,Kmeans,0.128958,1
2,Kmeans,0.468637,1
2,Kmeans,0.470591,1
2,Kmeans,0.308547,1
2,Kmeans,0.268769,1
2,Kmeans,0.454546,1
2,Kmeans,0.410412,1
2,Kmeans,0.320552,1
2,Kmeans,0.117028,1
