k,GMM,Kmeans
2,0.23300565433708478,0.30878071570919385
3,0.28713536033426623,0.30782195407544377
4,0.3363885819540343,0.3519306140758361
5,0.32798004466148695,0.3659058772458247
6,0.3469678391834439,0.39120281642768245
7,0.38227957627844034,0.4101468590580246
8,0.3296915120842168,0.4083742956785363
9,0.3456917581543323,0.36648557780896507
10,0.3270236481584779,0.332035553561549
15,0.22772520662786358,0.305724944538782
20,0.2338985713362609,0.3057983962297919
25,0.23181687938201948,0.2967806990984464
30,0.2004101663324612,0.2748346253974633
35,0.18473671739938136,0.2793680627242389
40,0.16206549803766768,0.27163150828422084
