k,GMM,Kmeans
2,0.9676304211187932,0.978629792583281
3,0.967316153362665,0.9736015084852294
4,0.9717159019484601,0.9582023884349465
5,0.978629792583281,0.9698302954116907
6,0.9798868636077939,0.9720301697045883
7,0.9824010056568196,0.9698302954116907
8,0.9817724701445631,0.9761156505342552
9,0.9795725958516657,0.9817724701445631
10,0.9808296668761785,0.9827152734129478
15,0.9798868636077939,0.9824010056568196
20,0.9839723444374607,0.9846008799497171
25,0.9842866121935889,0.9817724701445631
30,0.9846008799497171,0.9839723444374607
35,0.9871150219987429,0.9817724701445631
40,0.9855436832181018,0.9811439346323068
