k,GMM,Kmeans
2,0.7608656308708337,0.8201474155655493
3,0.41160579588219376,0.4161085803295797
4,0.3663577020493792,0.32845000864875207
5,0.3061243898095286,0.283434198543933
6,0.2887826209260167,0.24988227504006422
7,0.2628422882748718,0.23413601497624528
8,0.2488604314066535,0.23984420730016204
9,0.22772857173899527,0.22922710416703182
10,0.2203566020226521,0.21656271524294457
15,0.18891872931530843,0.1855402707799527
20,0.17390092432776882,0.16676798062861814
25,0.16119798879823552,0.15280387503766324
30,0.15211270848395467,0.14791922933010976
35,0.14701588490214376,0.1428360279453721
40,0.1427973733805567,0.13805975633658404
