k,type,score,label
2,Kmeans,0.346017,1
2,Kmeans,0.511531,0
2,Kmeans,0.461183,0
2,Kmeans,0.244334,0
2,Kmeans,0.340369,0
2,Kmeans,0.411241,0
2,Kmeans,0.181855,0
2,Kmeans,0.360628,0
2,Kmeans,0.315035,0
2,Kmeans,0.439776,0
2,Kmeans,0.348578,0
2,Kmeans,0.473634,0
2,Kmeans,0.486525,0
2,Kmeans,0.450415,0
2,Kmeans,0.234251,1
2,Kmeans,0.015635,1
2,Kmeans,0.373406,1
2,Kmeans,0.171306,0
2,Kmeans,0.4351,0
2,Kmeans,0.490222,0
2,Kmeans,0.440048,0
2,Kmeans,0.149592,0
2,Kmeans,0.305502,0
2,Kmeans,0.362042,0
2,Kmeans,0.129356,1
2,Kmeans,0.242089,0
2,Kmeans,0.491981,0
2,Kmeans,0.289845,0
2,Kmeans,0.173615,0
2,Kmeans,0.390424,0
2,Kmeans,0.432271,0
2,Kmeans,0.503916,0
2,Kmeans,0.470605,0
2,Kmeans,0.480272,0
2,Kmeans,0.393821,0
2,Kmeans,0.461766,0
2,Kmeans,0.287788,1
2,Kmeans,0.475484,0
2,Kmeans,0.482692,0
2,Kmeans,0.183528,1
2,Kmeans,0.391932,0
2,Kmeans,0.455633,0
2,Kmeans,0.490729,0
2,Kmeans,0.44401,1
2,Kmeans,0.33233,1
2,Kmeans,0.286883,0
2,Kmeans,0.25656,0
2,Kmeans,0.239297,1
2,Kmeans,0.156278,1
2,Kmeans,0.429341,0
2,Kmeans,0.305462,1
2,Kmeans,0.392054,0
2,Kmeans,0.43725,0
2,Kmeans,0.371184,0
2,Kmeans,0.408211,0
2,Kmeans,0.347212,0
2,Kmeans,0.498188,0
2,Kmeans,0.232497,0
2,Kmeans,0.395395,0
2,Kmeans,0.243282,1
2,Kmeans,0.238088,1
2,Kmeans,0.425815,0
2,Kmeans,0.303356,0
2,Kmeans,0.322988,1
2,Kmeans,0.377456,0
2,Kmeans,0.452813,0
2,Kmeans,0.233829,1
2,Kmeans,0.328886,1
2,Kmeans,0.137329,0
2,Kmeans,0.162779,1
2,Kmeans,0.241772,1
2,Kmeans,0.025328,1
2,Kmeans,0.475323,0
2,Kmeans,0.480862,0
2,Kmeans,0.483593,0
2,Kmeans,0.065911,0
2,Kmeans,0.349341,0
2,Kmeans,0.341819,0
2,Kmeans,0.372633,0
2,Kmeans,0.149672,1
2,Kmeans,0.335623,0
2,Kmeans,0.231579,1
2,Kmeans,0.305189,1
2,Kmeans,0.413045,0
2,Kmeans,0.210249,0
2,Kmeans,0.481377,0
2,Kmeans,0.484194,0
2,Kmeans,0.392532,0
2,Kmeans,0.317269,1
2,Kmeans,0.316539,1
2,Kmeans,0.251592,0
2,Kmeans,0.182316,0
2,Kmeans,0.300344,1
2,Kmeans,0.361297,0
2,Kmeans,0.183766,1
2,Kmeans,0.359035,0
2,Kmeans,0.493524,0
2,Kmeans,0.306605,0
2,Kmeans,0.365538,0
2,Kmeans,0.353176,0
2,Kmeans,0.400861,0
2,Kmeans,0.478488,0
2,Kmeans,0.48407,0
2,Kmeans,0.395914,0
2,Kmeans,0.108404,0
2,Kmeans,0.365884,0
2,Kmeans,0.187357,0
2,Kmeans,0.345211,1
2,Kmeans,0.394632,0
2,Kmeans,0.362897,0
2,Kmeans,0.043497,1
2,Kmeans,0.147471,1
2,Kmeans,0.116599,0
2,Kmeans,0.290021,0
2,Kmeans,0.233417,1
2,Kmeans,0.132091,1
2,Kmeans,0.396309,0
2,Kmeans,0.264797,0
2,Kmeans,0.113202,0
2,Kmeans,0.183333,0
2,Kmeans,0.398161,0
2,Kmeans,0.358922,1
2,Kmeans,0.272113,0
2,Kmeans,0.31071,0
2,Kmeans,0.262756,0
2,Kmeans,0.520289,0
2,Kmeans,0.355062,1
2,Kmeans,0.461441,0
2,Kmeans,0.402484,0
2,Kmeans,0.145411,1
2,Kmeans,0.477506,0
2,Kmeans,0.358895,1
2,Kmeans,0.174118,1
2,Kmeans,0.211165,1
2,Kmeans,0.395553,0
2,Kmeans,0.252137,1
2,Kmeans,0.230026,1
2,Kmeans,0.476611,0
2,Kmeans,0.436386,0
2,Kmeans,0.440611,0
2,Kmeans,0.389657,0
2,Kmeans,0.394726,0
2,Kmeans,0.432643,0
2,Kmeans,0.395025,0
2,Kmeans,0.426902,0
2,Kmeans,0.501889,0
2,Kmeans,0.276918,0
2,Kmeans,0.455208,0
2,Kmeans,0.038537,1
2,Kmeans,0.328731,0
2,Kmeans,0.234671,1
2,Kmeans,0.15147,1
2,Kmeans,0.443607,0
2,Kmeans,0.137191,0
2,Kmeans,0.212229,0
2,Kmeans,0.429959,0
2,Kmeans,0.406899,0
2,Kmeans,0.203155,1
2,Kmeans,0.309909,0
2,Kmeans,0.448808,0
2,Kmeans,0.387636,0
2,Kmeans,0.14578,0
2,Kmeans,0.37551,0
2,Kmeans,0.300172,1
2,Kmeans,0.447379,0
2,Kmeans,0.490672,0
2,Kmeans,0.237954,1
2,Kmeans,0.380973,0
2,Kmeans,0.387894,0
2,Kmeans,0.339029,1
2,Kmeans,0.456223,0
2,Kmeans,0.173937,1
2,Kmeans,0.352683,0
2,Kmeans,0.489422,0
2,Kmeans,0.251922,1
2,Kmeans,0.427064,0
2,Kmeans,0.427572,1
2,Kmeans,0.525912,0
2,Kmeans,0.165073,0
2,Kmeans,0.302585,1
2,Kmeans,0.395136,0
2,Kmeans,0.228942,0
2,Kmeans,0.147807,1
2,Kmeans,0.321245,0
2,Kmeans,0.515779,0
2,Kmeans,0.383324,0
2,Kmeans,0.371461,0
2,Kmeans,0.10317,1
2,Kmeans,0.472974,0
2,Kmeans,0.430854,0
2,Kmeans,0.301215,0
2,Kmeans,0.339575,0
2,Kmeans,0.302733,0
2,Kmeans,0.442168,0
2,Kmeans,0.431289,0
2,Kmeans,0.335303,0
2,Kmeans,0.36393,1
2,Kmeans,0.39917,0
2,Kmeans,0.505111,0
2,Kmeans,0.502674,0
2,Kmeans,0.211394,0
2,Kmeans,0.379407,0
2,Kmeans,0.205531,0
2,Kmeans,0.395088,0
2,Kmeans,0.405472,0
2,Kmeans,0.437247,0
2,Kmeans,0.443893,0
2,Kmeans,0.396153,0
2,Kmeans,0.359844,0
2,Kmeans,0.306704,0
2,Kmeans,0.324416,1
2,Kmeans,0.482064,0
2,Kmeans,0.466719,0
2,Kmeans,0.067787,0
