k,GMM,Kmeans
2,0.3365386453665392,0.34371588918053964
3,0.3143247579292892,0.32326390881994577
4,0.3358170349617814,0.3466617820169315
5,0.2613841722988071,0.2813155690377269
6,0.24446948050061917,0.2496508971786031
7,0.20301671466258422,0.2338400247128145
8,0.18585270049345826,0.23797920110854223
9,0.17227997601660383,0.24193805720144515
10,0.16933422436996,0.2188019391969397
15,0.1347897560761484,0.21084022660387436
20,0.10590833821193758,0.19816109313444438
25,0.13591353976718987,0.19290006081608072
30,0.1267223048563248,0.19217903313504195
35,0.10274236221899793,0.18928929485996085
40,0.09955266694591189,0.19311391776788187
