k,GMM,Kmeans
2,0.9380892520427404,0.9663733500942804
3,0.9638592080452546,0.9622878692646134
4,0.9626021370207417,0.9516027655562539
5,0.940289126335638,0.9660590823381521
6,0.9500314267756128,0.968887492143306
7,0.9566310496543055,0.9707730986800754
8,0.9635449402891263,0.9732872407291012
9,0.9487743557510999,0.9726587052168447
10,0.9613450659962288,0.9685732243871779
15,0.9739157762413576,0.9776869893148963
20,0.9695160276555626,0.9820867379006913
25,0.9795725958516657,0.9836580766813325
30,0.9761156505342552,0.9792583280955374
35,0.9773727215587681,0.9824010056568196
40,0.9795725958516657,0.9805153991200503
