k,GMM,Kmeans
2,0.6317548872822792,0.7434278440838887
3,0.6037972121236315,0.689180147205353
4,0.3674052773323472,0.3455978582675773
5,0.31692133039872916,0.33526266144233663
6,0.3173771371245958,0.33245467673880363
7,0.27133223663526457,0.27999934310090396
8,0.24241356261923813,0.25233524834627447
9,0.2250883808032052,0.24125740209614316
10,0.22591391576514067,0.23521561724231388
15,0.19779244213631372,0.19341784591628644
20,0.1817431252195709,0.176369627021682
25,0.17212567457619682,0.17109251706568532
30,0.15994520622199362,0.15679864018202622
35,0.15205887978054464,0.15130904277395626
40,0.14497863837795003,0.1497135249593525
