k,type,score,label
2,Kmeans,0.347515,1
2,Kmeans,0.708848,0
2,Kmeans,0.707698,0
2,Kmeans,0.364492,0
2,Kmeans,0.602998,0
2,Kmeans,0.601106,0
2,Kmeans,0.443616,0
2,Kmeans,0.618342,0
2,Kmeans,0.643668,0
2,Kmeans,0.650515,0
2,Kmeans,0.552314,0
2,Kmeans,0.623305,0
2,Kmeans,0.612788,0
2,Kmeans,0.686388,0
2,Kmeans,0.246588,1
2,Kmeans,0.457166,0
2,Kmeans,0.466654,1
2,Kmeans,0.063292,1
2,Kmeans,0.685864,0
2,Kmeans,0.681344,0
2,Kmeans,0.560116,0
2,Kmeans,0.1893,0
2,Kmeans,0.447898,0
2,Kmeans,0.507231,0
2,Kmeans,0.268814,1
2,Kmeans,0.681956,0
2,Kmeans,0.622192,0
2,Kmeans,0.577051,0
2,Kmeans,0.546107,0
2,Kmeans,0.581963,0
2,Kmeans,0.610372,0
2,Kmeans,0.709912,0
2,Kmeans,0.681555,0
2,Kmeans,0.642829,0
2,Kmeans,0.624728,0
2,Kmeans,0.694275,0
2,Kmeans,0.274282,1
2,Kmeans,0.704913,0
2,Kmeans,0.624429,0
2,Kmeans,0.064199,1
2,Kmeans,0.635266,0
2,Kmeans,0.672159,0
2,Kmeans,0.637724,0
2,Kmeans,0.451014,1
2,Kmeans,0.49534,1
2,Kmeans,0.630732,0
2,Kmeans,0.676449,0
2,Kmeans,0.322157,1
2,Kmeans,0.076171,1
2,Kmeans,0.592236,0
2,Kmeans,0.217859,1
2,Kmeans,0.440581,0
2,Kmeans,0.504614,0
2,Kmeans,0.679475,0
2,Kmeans,0.577038,0
2,Kmeans,0.622665,0
2,Kmeans,0.634486,0
2,Kmeans,0.525338,0
2,Kmeans,0.673768,0
2,Kmeans,0.145345,1
2,Kmeans,0.147265,1
2,Kmeans,0.683069,0
2,Kmeans,0.218427,0
2,Kmeans,0.400536,1
2,Kmeans,0.546731,0
2,Kmeans,0.643488,0
2,Kmeans,0.264047,1
2,Kmeans,0.449651,1
2,Kmeans,0.4265,0
2,Kmeans,0.294315,1
2,Kmeans,0.288084,1
2,Kmeans,0.255431,1
2,Kmeans,0.692717,0
2,Kmeans,0.549054,0
2,Kmeans,0.705523,0
2,Kmeans,0.189002,0
2,Kmeans,0.434626,0
2,Kmeans,0.623941,0
2,Kmeans,0.699403,0
2,Kmeans,0.32286,1
2,Kmeans,0.475051,0
2,Kmeans,0.400822,1
2,Kmeans,0.151436,1
2,Kmeans,0.598964,0
2,Kmeans,0.444743,0
2,Kmeans,0.636265,0
2,Kmeans,0.700154,0
2,Kmeans,0.486762,0
2,Kmeans,0.367318,1
2,Kmeans,0.210127,1
2,Kmeans,0.515747,0
2,Kmeans,0.445584,0
2,Kmeans,0.414851,1
2,Kmeans,0.675425,0
2,Kmeans,0.155392,1
2,Kmeans,0.665557,0
2,Kmeans,0.592203,0
2,Kmeans,0.660013,0
2,Kmeans,0.530838,0
2,Kmeans,0.688534,0
2,Kmeans,0.679635,0
2,Kmeans,0.688817,0
2,Kmeans,0.702874,0
2,Kmeans,0.633943,0
2,Kmeans,0.183205,0
2,Kmeans,0.626717,0
2,Kmeans,0.44225,0
2,Kmeans,0.499435,1
2,Kmeans,0.593761,0
2,Kmeans,0.683545,0
2,Kmeans,0.216675,1
2,Kmeans,0.288508,1
2,Kmeans,0.2056,0
2,Kmeans,0.576929,0
2,Kmeans,0.399597,1
2,Kmeans,0.15618,1
2,Kmeans,0.660965,0
2,Kmeans,0.623308,0
2,Kmeans,0.155068,1
2,Kmeans,0.119815,1
2,Kmeans,0.577958,0
2,Kmeans,0.500749,1
2,Kmeans,0.620032,0
2,Kmeans,0.537437,0
2,Kmeans,0.684094,0
2,Kmeans,0.595291,0
2,Kmeans,0.451537,1
2,Kmeans,0.687511,0
2,Kmeans,0.695402,0
2,Kmeans,0.187084,1
2,Kmeans,0.655079,0
2,Kmeans,0.434893,1
2,Kmeans,0.427734,1
2,Kmeans,0.119555,1
2,Kmeans,0.648156,0
2,Kmeans,0.030397,1
2,Kmeans,0.270935,1
2,Kmeans,0.686977,0
2,Kmeans,0.548763,0
2,Kmeans,0.655226,0
2,Kmeans,0.458365,0
2,Kmeans,0.668142,0
2,Kmeans,0.706057,0
2,Kmeans,0.666672,0
2,Kmeans,0.647861,0
2,Kmeans,0.698547,0
2,Kmeans,0.675883,0
2,Kmeans,0.602479,0
2,Kmeans,0.322149,0
2,Kmeans,0.527697,0
2,Kmeans,0.475303,1
2,Kmeans,-0.08687,1
2,Kmeans,0.691186,0
2,Kmeans,0.645467,0
2,Kmeans,0.609982,0
2,Kmeans,0.569505,0
2,Kmeans,0.545335,0
2,Kmeans,0.162413,1
2,Kmeans,0.375482,0
2,Kmeans,0.698085,0
2,Kmeans,0.472075,0
2,Kmeans,0.506637,0
2,Kmeans,0.569812,0
2,Kmeans,0.378671,1
2,Kmeans,0.630464,0
