k,GMM,Kmeans
2,0.4820188505865031,0.5140833121499313
3,0.4920047153110018,0.5101960560540737
4,0.2875042233800262,0.3437427986253615
5,0.2515492870204316,0.34458169944487477
6,0.2728320127230045,0.3486459147759969
7,0.2165036649388009,0.3291683825555864
8,0.22300504547743988,0.295196363287886
9,0.19423885145722172,0.2910920985805078
10,0.2005651399847527,0.29207941746914184
15,0.2000997496346929,0.25647394478400726
20,0.23366926570774774,0.2501886179032468
25,0.1833054829249255,0.24490505565154594
30,0.18215561728249174,0.24048697258499072
35,0.18000532433673294,0.24332487216692023
40,0.1968735654653617,0.2411159607522724
