,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.9348474025726319,0.0427683910070965,0.11348066329956055,0.006060552401019636,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.9592292274052477,0.9443786443148688,0.955448250728863,0.9621806569343067,0.9650126018788255,0.9572453774110029,0.007175169281754178,364,0.9548879625441609,0.9585930018866463,0.960121470687709,0.9576836518349399,0.9558559775532522,0.9574284129013417,0.0018761884553451622
1,0.7454238414764405,0.06292146798115626,0.11660304069519042,0.008986582775614425,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.9770408163265305,0.959229227405248,0.9622357871720116,0.9732990093847756,0.9873817550980327,0.9718301603875574,0.010215734865618064,347,0.9684665191578141,0.9758765978427849,0.9725594823335738,0.9703269062743763,0.9718343527029841,0.9718127716623067,0.002468923958647301
2,0.8062747478485107,0.1298674461100649,0.12189683914184571,0.006261460039123831,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.9800018221574343,0.9644223760932944,0.9806851311953354,0.9829575078206465,0.9859219010834342,0.9787936992717493,0.007480298252407136,317,0.9779288860636733,0.9762412951440248,0.9847919187967842,0.9805178035711012,0.9786794958595907,0.9796318798870347,0.0029228120200172807
3,0.878171968460083,0.1724132154034426,0.11562252044677734,0.00765609672756173,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.9903881195335276,0.9799562682215744,0.9873815597667639,0.9874217935349322,0.9888416091126313,0.9867968338778143,0.0035954764741752123,137,0.9903552844435208,0.9873796397035154,0.9877675635367895,0.9886799715680544,0.9857181103848758,0.9879801139273511,0.0015266723739114894
4,0.6804371833801269,0.07996577812080904,0.10939278602600097,2.9615618482065336e-05,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.9836916909620991,0.9740342565597668,0.9784985422740525,0.981497653806048,0.994055841052666,0.9823506392566097,0.006684070423693753,299,0.9864678964504153,0.9844039949635098,0.98312755440917,0.9816233093073888,0.9860826747304827,0.9843410859721935,0.0018121468267595225
5,0.6313024520874023,0.04800872254318757,0.11875615119934083,0.007653355292409684,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.9911169825072886,0.9725765306122449,0.9821884110787173,0.9822275808133473,0.9947857680599653,0.9845750823352077,0.007774198602865559,199,0.9881206475720123,0.9879382989213924,0.9846211834121814,0.9831170047882166,0.9899777355346077,0.986754974045682,0.0025075644096363703
6,0.8093990325927735,0.12633515298335918,0.1250180721282959,2.224607604835541e-05,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.9888848396501457,0.986652696793003,0.9896137026239068,0.9844597236704902,0.9925436155935976,0.9884299800586064,0.0027357604410808783,92,0.9886793067898895,0.9933077026514919,0.9922019974817549,0.9840402283517007,0.9899777355346077,0.989641394161889,0.0032376010676495753
7,0.66252121925354,0.06298264229578439,0.11876487731933594,0.00763540563410242,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.9888848396501457,0.9851494169096211,0.9844205539358601,0.9889240093847758,0.9925436155935976,0.987982275135423,0.0029393889970789765,108,0.9886909200559066,0.9922019974817549,0.9873912529695325,0.9897972900038086,0.9912760891359825,0.989871509929397,0.001729450237096531
8,0.5922412395477294,0.04929898929835623,0.11560544967651368,0.005671163558212949,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.9888848396501457,0.9487518221574344,0.9836461370262392,0.9903838633993742,0.9850872311871952,0.9793458290492147,0.015497522217447811,313,0.9892263527417494,0.9808696910056274,0.9773121605157105,0.9860807703509391,0.9834635891359825,0.9833905127500018,0.004113411301532955
9,0.8158888339996337,0.1264804877850328,0.11876063346862793,0.007663655588401571,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
10,0.8158643245697021,0.11801955707270302,0.11260843276977539,0.006199275059409674,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 20}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
11,0.7738057613372803,0.11017063445342805,0.12187371253967286,0.00625007155717831,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 25}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
12,0.7687641620635987,0.10844119081289334,0.11877498626708985,0.007646578802473586,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 30}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
13,0.7875411987304688,0.15392011686764165,0.11874899864196778,0.007655005851486091,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 35}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
14,0.7531765460968017,0.09957767330974711,0.11566200256347656,0.0077007885390224335,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 40}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
15,0.7808667659759522,0.14111822206602434,0.1175605297088623,0.009309190928019651,0.1,"(50, 50)",45,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 45}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
16,0.7843988418579102,0.13741924259433164,0.11249713897705078,0.006251670636719304,0.1,"(50, 50)",50,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 50}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
17,0.7375171184539795,0.11996227956152797,0.11876096725463867,0.007639884391597032,0.1,"(50, 50)",55,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 55}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
18,0.7937893390655517,0.1374544457694579,0.11875090599060059,0.007653448578159855,0.1,"(50, 50)",60,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 60}",0.9881559766763849,0.9821428571428571,0.9821884110787173,0.9940758602711157,0.9962979935190337,0.988567611163156,0.0058683826133702635,52,0.993501664568129,0.9938663618693689,0.9821693580920015,0.993684279130015,0.990160017707411,0.9906763362733851,0.004468595442529355
19,0.568784761428833,0.02896535109851322,0.11564402580261231,0.00765862965231383,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 2}",0.9562682215743439,0.9399599125364433,0.9473396501457727,0.9554842283628779,0.9598507413832607,0.9517761865914506,0.0071895142578623705,373,0.9511945364676927,0.9548995758101781,0.953429173339201,0.9517561207094951,0.9496136268944325,0.9521786066442,0.0018272164543305365
20,0.5937553882598877,0.027940298574318838,0.11875057220458984,0.007654928084304069,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 3}",0.9770408163265305,0.9622357871720117,0.9622357871720116,0.9725690823774765,0.9806552976989297,0.9709427274470989,0.007559967458129198,350,0.9673724272540942,0.9718184744650766,0.9731065282854338,0.9690273056658187,0.9686796097859486,0.9700008690912745,0.0021237262870659876
21,0.5781495571136475,0.13733341869242566,0.11877212524414063,0.007620176030855044,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 4}",0.9764486151603498,0.9600491982507289,0.9822339650145773,0.9837297966631908,0.9881116821053321,0.9781090193283106,0.009773801374569803,325,0.9696883569877225,0.9709764108080795,0.9874377060336009,0.977213099061705,0.979066438596948,0.9768764022976111,0.006370693137496955
22,0.4812770366668701,0.04463048587907256,0.12188372611999512,0.006253908154134379,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 5}",0.9897048104956268,0.9725765306122449,0.9734876093294462,0.9852743743482795,0.9903538345716999,0.9822752216783922,0.0077561515334479865,300,0.987073008732361,0.9824097730727072,0.9839846949378385,0.9861752719466716,0.9866630888365189,0.9852611675052195,0.0017800882790717544
23,0.5844025135040283,0.06816684297051581,0.11875686645507813,0.007661542377608826,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'filter__n': 6}",0.9874271137026237,0.9836916909620993,0.9814595481049564,0.9866918665276331,0.9947857680599653,0.9868077160968716,0.004522973345321587,135,0.9862855477997955,0.9840741374603212,0.9885085714052866,0.9868335244410863,0.9859451493411802,0.9863293860895339,0.0014309933732827916
