k,GMM,Kmeans
2,0.20612813370473537,0.2053853296193129
3,0.30696378830083565,0.2818941504178273
4,0.4003714020427112,0.3615598885793872
5,0.46016713091922007,0.4263695450324977
6,0.5532033426183844,0.5164345403899722
7,0.588857938718663,0.5760445682451254
8,0.6068709377901579,0.5964716805942433
9,0.6269266480965645,0.6224698235840297
10,0.6324976787372331,0.6560817084493965
15,0.7392757660167131,0.7010213556174559
20,0.8404828226555247,0.7500464252553389
25,0.8532961931290622,0.784958217270195
30,0.8772516248839368,0.7931290622098421
35,0.8516248839368616,0.8139275766016713
40,0.8722376973073351,0.8207985143918292
