k,GMM,Kmeans
2,0.21325179932127053,0.15877050405271798
3,0.335947599517897,0.24327299367531433
4,0.4350818704261238,0.33018796532339695
5,0.4788585494961271,0.38640142379432457
6,0.5467319051399214,0.46159391832828744
7,0.5826894112671587,0.48752750386892424
8,0.5908891764997692,0.5062507212984892
9,0.6231057299786439,0.5312041814636378
10,0.6040331244836538,0.5641251067940292
15,0.6458444490810047,0.5361826594560345
20,0.6364756041096509,0.5341524434691451
25,0.6150614744420558,0.5265226815587074
30,0.6003840990010123,0.5130063564626067
35,0.5657747962419919,0.5100767244467044
40,0.5687002398715502,0.4992315154040824
