k,type,score,label
2,Kmeans,0.302629,1
2,Kmeans,0.42919,0
2,Kmeans,0.443677,1
2,Kmeans,0.392779,1
2,Kmeans,0.475912,1
2,Kmeans,0.049817,1
2,Kmeans,0.323157,0
2,Kmeans,0.421124,1
2,Kmeans,0.502629,1
2,Kmeans,0.423605,1
2,Kmeans,0.216342,1
2,Kmeans,0.518329,1
2,Kmeans,0.433315,1
2,Kmeans,0.506701,1
2,Kmeans,0.260363,1
2,Kmeans,0.53469,1
2,Kmeans,0.538371,0
2,Kmeans,0.402288,1
2,Kmeans,0.387776,0
2,Kmeans,0.493504,1
2,Kmeans,0.533089,1
2,Kmeans,0.473295,0
2,Kmeans,0.361457,1
2,Kmeans,0.492155,1
2,Kmeans,0.455273,1
2,Kmeans,0.525787,1
2,Kmeans,0.370911,1
2,Kmeans,-0.019742,0
2,Kmeans,0.082073,0
2,Kmeans,0.220521,1
2,Kmeans,0.45316,1
2,Kmeans,0.356217,1
2,Kmeans,0.522368,0
2,Kmeans,0.419156,1
2,Kmeans,0.519914,1
2,Kmeans,0.295451,0
2,Kmeans,0.144856,1
2,Kmeans,0.386762,1
2,Kmeans,0.089853,1
2,Kmeans,0.292117,1
2,Kmeans,0.370307,0
2,Kmeans,0.276929,1
2,Kmeans,0.495679,1
2,Kmeans,0.440995,1
2,Kmeans,0.245549,1
2,Kmeans,0.120428,1
2,Kmeans,0.312191,0
2,Kmeans,0.374474,0
2,Kmeans,0.518604,0
2,Kmeans,0.388704,1
2,Kmeans,0.397203,0
2,Kmeans,0.510873,0
2,Kmeans,0.131216,0
2,Kmeans,0.018161,0
2,Kmeans,0.535416,1
2,Kmeans,0.513727,1
2,Kmeans,0.355951,1
2,Kmeans,0.486446,1
2,Kmeans,0.364465,1
2,Kmeans,0.514406,0
2,Kmeans,0.538822,1
2,Kmeans,0.515355,0
2,Kmeans,0.512312,1
2,Kmeans,0.432492,1
2,Kmeans,0.080852,1
2,Kmeans,0.507239,1
2,Kmeans,0.323624,0
2,Kmeans,0.168452,1
2,Kmeans,0.478132,0
2,Kmeans,0.298295,1
2,Kmeans,0.33997,1
2,Kmeans,0.495174,0
2,Kmeans,0.416281,1
2,Kmeans,0.305113,0
2,Kmeans,0.459583,1
2,Kmeans,0.13599,1
2,Kmeans,0.43916,1
2,Kmeans,0.274678,1
2,Kmeans,0.525139,1
2,Kmeans,0.287342,1
2,Kmeans,0.019401,1
2,Kmeans,0.240881,1
2,Kmeans,0.483974,0
2,Kmeans,0.511704,1
2,Kmeans,0.385125,0
2,Kmeans,0.501616,1
2,Kmeans,0.410312,1
2,Kmeans,0.527679,0
2,Kmeans,0.017087,1
2,Kmeans,0.324983,0
2,Kmeans,0.537127,0
2,Kmeans,0.280826,1
2,Kmeans,0.417444,1
2,Kmeans,0.50182,0
2,Kmeans,0.376733,0
2,Kmeans,0.492732,1
2,Kmeans,0.149078,0
2,Kmeans,0.509317,1
2,Kmeans,0.501218,1
2,Kmeans,0.482118,1
2,Kmeans,0.429814,1
2,Kmeans,0.456663,1
2,Kmeans,0.380773,1
2,Kmeans,0.135631,1
2,Kmeans,0.064143,1
2,Kmeans,0.127111,0
2,Kmeans,0.259789,0
2,Kmeans,0.429119,0
2,Kmeans,0.067334,0
2,Kmeans,0.263922,1
2,Kmeans,0.015991,0
2,Kmeans,0.242232,0
2,Kmeans,0.038071,1
2,Kmeans,0.52676,0
2,Kmeans,0.52004,0
2,Kmeans,0.236756,0
2,Kmeans,0.43036,1
2,Kmeans,0.463147,1
2,Kmeans,0.458001,1
2,Kmeans,0.453784,0
