k,GMM,Kmeans
2,0.3340770887982501,0.35834155453427896
3,0.21046170366493422,0.267809065032948
4,0.2268395020193685,0.23156996196009363
5,0.17076044842880345,0.2451722477457752
6,0.19728644958781905,0.2674434573697199
7,0.17628262476855525,0.2687803138929638
8,0.1616394523217439,0.25638302505571675
9,0.15625390679886758,0.24557134794016203
10,0.13823280552603662,0.2548373461040502
15,0.11999108575861489,0.251152865062915
20,0.13727421646899868,0.24268201491898522
25,0.1252542311323308,0.2377288103008656
30,0.14439224291616512,0.23012957623316777
35,0.10695861799299158,0.22717148268624054
40,0.11442493095808673,0.221527366187751
