k,GMM,Kmeans
2,0.92049025769956,0.7539283469516027
3,0.944688874921433,0.8940917661847895
4,0.9578881206788183,0.9038340666247643
5,0.9622878692646134,0.9286612193588938
6,0.9472030169704588,0.9270898805782527
7,0.964487743557511,0.9299182903834067
8,0.9610307982401005,0.9267756128221244
9,0.9556882463859208,0.9270898805782527
10,0.9607165304839723,0.9299182903834067
15,0.9607165304839723,0.9531741043368951
20,0.9629164047768699,0.9556882463859208
25,0.9761156505342552,0.9585166561910748
30,0.9802011313639221,0.9578881206788183
35,0.978629792583281,0.9591451917033312
40,0.9798868636077939,0.9553739786297926
