k,GMM,Kmeans
2,0.5844097255983777,0.08463893396156265
3,0.3709407482415413,0.21331684046914653
4,0.36386044581269,0.1796012812126609
5,0.31087384429644815,0.20695635132599005
6,0.2674859665613523,0.18621454651521402
7,0.24833365518586528,0.17962393509397043
8,0.2363456455446029,0.16351499628547542
9,0.22209706109650382,0.15569629290897244
10,0.21337446788549203,0.14802470802161605
15,0.17974770744923663,0.14925062769944245
20,0.16803266632184577,0.13687320655964633
25,0.16215485917946992,0.13436375211594973
30,0.15919147921863153,0.12915774982674094
35,0.18658239094690807,0.12587476810521736
40,0.1633887943737773,0.12041740423702829
