k,type,score,label
2,Kmeans,0.336705,1
2,Kmeans,0.222284,0
2,Kmeans,0.497273,0
2,Kmeans,0.386434,0
2,Kmeans,0.027725,1
2,Kmeans,0.459947,0
2,Kmeans,0.228224,0
2,Kmeans,0.414214,0
2,Kmeans,0.203872,1
2,Kmeans,0.501546,0
2,Kmeans,0.505147,0
2,Kmeans,0.327541,0
2,Kmeans,0.420711,0
2,Kmeans,0.250109,1
2,Kmeans,-0.014529,1
2,Kmeans,-0.092435,1
2,Kmeans,0.162942,1
2,Kmeans,0.1092,1
2,Kmeans,0.191568,0
2,Kmeans,0.306536,0
2,Kmeans,0.198407,1
2,Kmeans,0.278184,1
2,Kmeans,0.141147,0
2,Kmeans,0.419422,0
2,Kmeans,0.146416,0
2,Kmeans,0.265215,1
2,Kmeans,0.467427,0
2,Kmeans,0.391828,0
2,Kmeans,0.344436,0
2,Kmeans,0.50973,0
2,Kmeans,0.311988,1
2,Kmeans,0.151482,1
2,Kmeans,0.404508,0
2,Kmeans,0.466839,0
2,Kmeans,0.356363,1
2,Kmeans,0.227213,0
2,Kmeans,0.302193,1
2,Kmeans,0.229525,0
2,Kmeans,0.184273,1
2,Kmeans,-0.029739,1
2,Kmeans,0.429015,0
2,Kmeans,0.461743,0
2,Kmeans,0.229645,1
2,Kmeans,0.293361,1
2,Kmeans,0.147365,1
2,Kmeans,0.121708,0
2,Kmeans,0.208694,0
2,Kmeans,0.21728,1
2,Kmeans,0.213151,1
2,Kmeans,0.152209,1
2,Kmeans,0.196276,1
2,Kmeans,0.449084,0
2,Kmeans,0.442454,0
2,Kmeans,0.294117,0
2,Kmeans,0.506482,0
2,Kmeans,0.422454,0
2,Kmeans,0.426337,0
2,Kmeans,0.400046,0
2,Kmeans,0.488809,0
2,Kmeans,0.320812,1
2,Kmeans,0.164317,1
2,Kmeans,0.201171,1
2,Kmeans,0.358997,0
2,Kmeans,-0.004475,1
2,Kmeans,0.220923,1
2,Kmeans,0.103976,0
2,Kmeans,0.175918,1
2,Kmeans,0.173376,1
2,Kmeans,0.248066,1
2,Kmeans,0.00395,1
2,Kmeans,0.300352,1
2,Kmeans,0.332221,0
2,Kmeans,0.221858,1
2,Kmeans,0.191766,1
2,Kmeans,0.492008,0
2,Kmeans,0.137642,0
2,Kmeans,0.472153,0
2,Kmeans,0.436795,0
2,Kmeans,0.22147,0
2,Kmeans,0.256183,1
2,Kmeans,0.471363,0
2,Kmeans,-0.055076,1
2,Kmeans,0.214853,1
2,Kmeans,0.076398,1
2,Kmeans,0.45629,0
2,Kmeans,0.057384,1
2,Kmeans,0.282715,0
2,Kmeans,0.510858,0
2,Kmeans,0.26419,1
2,Kmeans,-0.047597,1
2,Kmeans,0.390265,0
2,Kmeans,0.379069,0
2,Kmeans,0.044008,1
2,Kmeans,0.238205,1
2,Kmeans,0.1985,0
2,Kmeans,0.36728,0
2,Kmeans,0.15325,0
