k,GMM,Kmeans
2,0.19273481701595255,0.2637062696902379
3,0.2052009407330125,0.2749495669782534
4,0.20244875152906236,0.1953631125586007
5,0.10948516148732992,0.21082086672544825
6,0.0924972271411789,0.18874804926586247
7,0.10525967949877124,0.1705730126994391
8,0.04958757427533745,0.17502988301936853
9,0.06426245203387648,0.16117546173947994
10,0.02220470661249759,0.15459691848892962
15,0.01964001740515504,0.14766066374483086
20,0.005942489055212273,0.13888399955091288
25,0.01096874684582081,0.1376568435096829
30,0.01774108023454262,0.14079661733715818
35,-0.09083760064687363,0.13839748911098143
40,-0.031937148917178866,0.14151088690719038
