,0,1,2,3,4,5,6,7,8,9
2,0.7580735495227342,0.8229168681869612,0.8785281511547238,0.8325738520282928,0.863730089861068,0.887667812710618,0.7640850955299309,0.8627785743052705,0.8652110363739918,0.963116741427254
3,0.7170667066966243,0.6985935770023396,0.7605894607763288,0.7881211871323733,0.6937997094198413,0.810326375180608,0.7945641223687099,0.6636520793873711,0.7355001618188188,0.8018454157230702
4,0.620823003510736,0.5961355827943647,0.6886666629120427,0.6712145762534039,0.7195422419568525,0.6226550545537196,0.6183020843438956,0.6710530477494427,0.6153274284904228,0.7618702412390969
5,0.6094076201874765,0.5705582599447048,0.5939406462944129,0.5363520198049603,0.5516914461071695,0.5636518861276736,0.6745377121907752,0.634955152718661,0.6012073945793079,0.6371302221995965
6,0.5350961093959333,0.4428725590643706,0.4827298744056677,0.4460974646574006,0.5061094147673981,0.47547592122818444,0.43497418724282644,0.514341540478425,0.5139279662176002,0.5379386460691273
7,0.3145084893939041,0.4396747556273032,0.4715660297848215,0.3925113788174932,0.4673884977228431,0.43626513508745113,0.46277916679815684,0.42795700942855014,0.44812550856585576,0.5087112150158841
8,0.32126904510126447,0.28134692054854127,0.3887373093968339,0.35325678947268674,0.31488384773520484,0.30776848096068804,0.31869111854028703,0.42351641234027027,0.3452194570619084,0.5167830944502246
9,0.2845981530533028,0.2027518084277324,0.26877514707043,0.21870250905709684,0.26942955563394966,0.22936712451744293,0.24454475975397164,0.4300895569045983,0.18230981055310627,0.38570854567581603
10,0.11291026839451579,0.2586044497473065,0.1765126581201592,0.16666666666666466,0.13550071873577413,0.16327338370157368,0.16406880484557196,0.36171377279311245,0.15655470422404943,0.3175929138481166
15,7.845798417229562e-30,3.199097787104348e-30,3.0797209304018745e-30,0.08333333333333291,1.3876376791217125e-30,2.468143750845699e-30,1.0870184301201148e-30,4.77677938629146e-30,1.9857481586793808e-30,3.3555445822381545e-30
20,2.8060305945635332e-30,1.4840422634240728e-30,5.848570983533823e-30,0.08333333333333291,1.4334833727405392e-30,1.7189757637351412e-30,8.161165758582092e-30,1.1078062181140732e-30,1.438416002694762e-30,6.858339987480146e-30
25,1.455351417601569e-30,1.2470080129998757e-30,1.4982158420506153e-30,9.666587757238135e-31,2.0613926110702697e-30,1.1564475468313514e-30,1.2042465863956233e-30,3.87587172341909e-30,1.4956413084757733e-30,9.633467432201714e-31
30,7.848017904522566e-30,1.178669141845063e-30,1.57723116151199e-30,8.896948456916998e-31,7.333278143725093e-30,3.0454200933306926e-30,1.2260486986273256e-30,1.179779679671525e-30,1.0717023566480454e-30,1.1279703643926759e-30
35,1.5712681059747347e-30,2.478660058938894e-30,7.669578615162275e-30,1.368767444162114e-30,8.007964170498405e-31,1.5724171362448396e-30,1.5069501378031219e-30,1.8263802096799694e-30,4.528562053436215e-30,1.5049920891796818e-30
40,7.886881560413369e-31,1.188510959482623e-30,1.8940570930106546e-30,1.0566662181022238e-30,1.270833602337646e-30,1.1730870087672138e-30,1.3229500601191132e-30,8.062583238024275e-30,3.824650142810136e-30,1.0278732260078097e-30
45,1.3201769782236597e-30,1.190846802103718e-30,1.1215936450677469e-30,9.619936916558116e-31,9.948626080286518e-30,8.971350523162779e-31,1.2530607436050528e-30,1.3537684980628e-30,4.5188169938202405e-30,5.3306158588741526e-30
50,1.5479267564695004e-30,1.0018024672314377e-30,4.760858223945765e-30,1.2474539400194031e-30,2.234197934303736e-30,8.701178283128628e-30,6.816508450067935e-31,7.358733902601602e-31,1.343550213918414e-30,1.005446959587957e-30
55,8.417033880999071e-31,9.867409705657555e-31,2.9793403810907996e-30,1.3804558539145179e-30,6.6431840754998e-31,6.082616622277909e-30,1.8101180932028992e-30,9.440803760567534e-30,5.939956848352734e-30,8.013196075878517e-31
60,1.5667609822446322e-30,1.0127023791985924e-30,5.5731053442520384e-30,5.766627742753761e-31,8.000070278682928e-31,3.9735351274507905e-30,7.395586561044819e-31,1.1739374777830629e-30,8.114944231506811e-31,7.917401947941743e-31
