steps,time,reward,delta,converged
1,0.008610894000000258,1.1194551871559837,0.10622485871518939,False
2,0.0127156080000006,1.5416254545926664,5.2694626634114e-06,False
3,0.012955944999999858,1.541635584624082,5.2695084786257614e-06,False
4,0.012216259000000562,1.54163575210797,5.269508478752179e-06,False
5,0.01190876000000074,1.541635584624082,5.2695084786257614e-06,False
6,0.011954538999999542,1.54163575210797,5.269508478752179e-06,False
7,0.011946406999999937,1.541635584624082,5.2695084786257614e-06,False
8,0.011973511999999076,1.54163575210797,5.269508478752179e-06,False
9,0.011929541000000654,1.541635584624082,5.2695084786257614e-06,False
10,0.01199308800000054,1.54163575210797,5.269508478752179e-06,False
11,0.012574054999999973,1.541635584624082,5.2695084786257614e-06,False
12,0.011997606999999633,1.54163575210797,5.269508478752179e-06,True
