step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0,0.0
57,0.004464285714285714,7.69704433497537e-05,0.0,0.0005811141037000268,0.004464285714285714,0.0
58,0.002136752136752137,0.00011188199747521782,0.0,0.0006345560216551077,0.004464285714285714,0.0
59,0.0,0.00011001729751729751,0.0,0.0006294088269626475,0.004464285714285714,0.0
60,0.0,0.00010821373526291559,0.0,0.0006243847288937318,0.004464285714285714,0.0
61,0.0,0.00010646835243609437,0.0,0.0006194789044329534,0.004464285714285714,0.0
62,0.0,0.0001047783785879024,0.0,0.0006146867906743589,0.004464285714285714,0.0
63,0.0,0.00010314121642246642,0.0,0.00061000406708536,0.004464285714285714,0.0
64,0.0,0.0001015544284775054,0.0,0.00060542663922445,0.004464285714285714,0.0
65,0.0,0.00010001572501572501,0.0,0.0006009506237741865,0.004464285714285714,0.0
66,0.0,9.852295300056494e-05,0.0,0.0005965723347658887,0.004464285714285714,0.0
67,0.0,9.707408604467427e-05,0.0,0.0005922882708856754,0.004464285714285714,0.0
68,0.0,9.566721523243263e-05,0.0,0.0005880951037630826,0.004464285714285714,0.0
69,0.0,9.430054072911216e-05,0.0,0.0005839896671537474,0.004464285714285714,0.0
70,0.0,9.297236409912466e-05,0.0,0.0005799689469367018,0.004464285714285714,0.0
71,0.0,9.16810812644146e-05,0.0,0.0005760300718548547,0.004464285714285714,0.0
72,0.0,9.04251760416144e-05,0.0,0.0005721703049343522,0.004464285714285714,0.0
73,0.0,8.92032142032142e-05,0.0,0.0005683870355248366,0.004464285714285714,0.0
74,0.0,8.801383801383801e-05,0.0,0.0005646777719082612,0.004464285714285714,0.0
75,0.0,8.685576119786647e-05,0.0,0.0005610401344289312,0.004464285714285714,0.0
76,0.0,8.572776429919286e-05,0.0,0.0005574718491019287,0.004464285714285714,0.0
77,0.0,8.462869039792117e-05,0.0,0.000553970741661089,0.004464285714285714,0.0
78,0.0,8.355744115237787e-05,0.0,0.0005505347320112776,0.004464285714285714,0.0
79,0.0,8.251297313797314e-05,0.0,0.0005471618290529423,0.004464285714285714,0.0
