params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.2914822599999987,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.310696921,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.290241418999999,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.3415140490000006,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",2.4023634409999985,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",2.4403328700000024,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",2.5422679499999994,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",2.727259256,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",3.1042604509999983,100,0.00015445294369712974,0.0,0.0,0.005813953488372093,0.0008068133431682772
"{""discount_factor"": 0.9}",3.519348232999995,100,0.000924089181611211,0.0,0.0,0.009615384615384616,0.0021469449791399623
