episode,length,time,reward,delta
0,74.0,0.0038887719999820547,26.0,100.0
1,500.0,0.02470990099982373,-2283.0,-0.8928066966592284
2,500.0,0.024991800999941916,-1986.0,-0.4328752486494416
3,500.0,0.024899340000047232,-2283.0,-0.4378432776372361
4,500.0,0.02463249800007361,-1689.0,-0.2250913522644038
5,500.0,0.02465930399989702,-2382.0,-0.18236122540073718
6,500.0,0.024701166999875568,-1986.0,-0.09056990982106194
7,183.0,0.009100905999957831,-578.0,90.0
8,500.0,0.024775255999884394,-2382.0,-0.6605471470403874
9,488.0,0.023885885999789025,-1477.0,81.0
10,220.0,0.010842901999922105,-615.0,72.9
11,450.0,0.022132144000124754,-1637.0,65.61
12,45.0,0.002296760000035647,-44.0,59.049
13,210.0,0.010336325000025681,-902.0,53.1441
14,98.0,0.004891081999858216,-295.0,47.82969
15,39.0,0.001958842000021832,61.0,43.046721
16,146.0,0.007200191000038103,-442.0,38.7420489
17,274.0,0.013680572000112079,-1164.0,34.86784401
18,196.0,0.009707772999945519,-690.0,31.381059609000005
19,87.0,0.004316741000138791,-383.0,28.2429536481
20,22.0,0.001183918999913658,78.0,25.41865828329
21,100.0,0.004930835999857663,-693.0,22.876792454961006
22,287.0,0.014115167999989353,-1177.0,20.589113209464898
23,44.0,0.002205503999903158,-43.0,18.530201888518405
24,50.0,0.0025919120000708062,50.0,16.677181699666562
25,29.0,0.001482683999938672,71.0,15.0094635296999
26,29.0,0.0015221380001548823,71.0,13.50851717672991
27,91.0,0.004498951999948986,-288.0,12.157665459056915
28,71.0,0.0035406130000410485,-268.0,10.94189891315122
29,28.0,0.0014236540000638342,72.0,9.847709021836096
30,33.0,0.0017236240000784164,-32.0,8.862938119652483
31,70.0,0.0034954360000938323,-69.0,7.976644307687238
32,31.0,0.0015703260000918817,69.0,7.178979876918518
33,62.0,0.0031060169999364007,-160.0,6.461081889226662
34,25.0,0.0012748730000566866,75.0,5.8149737003039945
35,26.0,0.0013724539999202534,74.0,5.233476330273589
36,94.0,0.004712182999810466,-192.0,4.710128697246233
37,16.0,0.0008411819999309955,84.0,4.239115827521616
38,44.0,0.0022308029999749124,56.0,3.815204244769461
39,75.0,0.003733064000016384,-173.0,3.433683820292515
40,60.0,0.003000907000114239,-158.0,3.0903154382632607
41,31.0,0.001616104000049745,69.0,2.781283894436939
42,27.0,0.0014188350000949868,73.0,2.503155504993245
43,54.0,0.0026729279998107813,-152.0,2.252839954493922
44,18.0,0.0009761079998042987,82.0,2.027555959044534
45,65.0,0.0032367269998303527,-64.0,1.8248003631400849
46,33.0,0.0016588720000072499,-32.0,1.6423203268260806
47,31.0,0.0015664109998851927,-30.0,1.4780882941434754
48,28.0,0.0014149200001156714,72.0,1.3302794647291307
49,34.0,0.0017675960000360647,-132.0,1.1972515182562233
50,37.0,0.0019004139999196923,-36.0,1.0775263664306038
51,19.0,0.000991769000165732,81.0,0.9697737297875477
52,26.0,0.0013709479999306495,74.0,0.8727963568087915
53,24.0,0.0012321060000886064,76.0,0.7855167211279195
54,20.0,0.0010330299999168346,80.0,0.7069650490151247
