episode,length,time,reward,delta
0,500.0,0.02558632000000216,-2679.0,-0.09574948835643049
1,500.0,0.025433925000015734,-2481.0,-0.12903438229531794
2,500.0,0.024928552999881504,-2580.0,-3.147557906473139
3,74.0,0.003736376000006203,-172.0,99.99987622854803
4,500.0,0.0256447480001043,-3075.0,-0.01671878198168697
5,120.0,0.005967178999981115,-614.0,49.99993811427402
6,69.0,0.0035583830001542083,-167.0,24.999969057137008
7,42.0,0.002162134999935006,-41.0,12.499984528568504
8,271.0,0.013525166000135869,-1260.0,6.249992264284245
9,69.0,0.0034695360000114306,-266.0,3.1249961321421296
10,17.0,0.0009032230000229902,83.0,1.5624980660710577
11,15.0,0.0008435910001480806,85.0,0.781249033035536
12,32.0,0.0016251399999873684,-31.0,0.3906245165177751
13,38.0,0.001966370999980427,-37.0,0.19531225825888043
14,29.0,0.0017079629999443569,-28.0,0.09765612912944732
15,32.0,0.0017703070000152366,68.0,0.048828064564716556
16,21.0,0.0010920610000084707,-20.0,0.024414032282365383
17,34.0,0.0017666920000465325,-33.0,0.012207016141175586
18,16.0,0.0008490120001169998,84.0,0.006103508070580688
19,23.0,0.0011878339998929732,77.0,0.0030517540352974493
20,59.0,0.002972899000042162,-256.0,0.0015258770176416192
21,18.0,0.0009447859999909269,82.0,0.000762938508827915
22,14.0,0.0007899820000147884,86.0,0.0003814692544068521
23,34.0,0.0018028339998181764,-33.0,0.00019073462719632062
24,21.0,0.001090254000018831,79.0,9.536731359105488e-05
25,68.0,0.0033818929998687963,-463.0,4.768365680263287e-05
26,73.0,0.0036243389999981446,-567.0,2.3841828394211007e-05
27,45.0,0.002278990999911912,-341.0,1.1920914190000076e-05
28,34.0,0.001705855000182055,-33.0,5.960457102105465e-06
29,40.0,0.0021666529999038175,-39.0,2.98022855815816e-06
30,15.0,0.0008863570001267362,85.0,1.4901142861845074e-06
31,17.0,0.0009285229998567956,-16.0,7.450571359868263e-07
32,16.0,0.0008387720001792331,84.0,3.725285608879858e-07
33,28.0,0.001413112999898658,72.0,1.8626427333856554e-07
34,18.0,0.000973699000041961,82.0,9.313212956385541e-08
35,14.0,0.0007414920000883285,86.0,4.656605767650035e-08
