episode,length,time,reward,delta
0,64.0,0.0032737720000568515,0.0,-0.000277097713336831
1,10.0,0.0005604869999160655,0.0,-0.00017185468134603134
2,7.0,0.00040869500003282155,0.0,-0.0006433383814347569
3,103.0,0.004999806000000717,0.0,-0.0003308952955299105
4,17.0,0.0008893689999922572,0.0,-0.0006351635914517047
5,61.0,0.0029548269999395416,0.0,0.00012214425580923756
6,41.0,0.0020040179999796237,0.0,-0.00022453647147017785
7,51.0,0.0024865009999075482,0.0,-0.00021922627750122327
8,35.0,0.0017432009999538423,0.0,-0.0006234588534211709
9,7.0,0.0004035740000745136,0.0,-0.00015664039738334183
10,70.0,0.003440321000084623,0.0,-0.00022630842262588968
11,29.0,0.001487504000010631,0.0,7.156950309935043e-06
12,22.0,0.0012167469999440073,0.0,-0.0007967634670645093
13,7.0,0.00040327400006390235,0.0,2.3695528329475312e-05
14,12.0,0.0006436109999867767,0.0,3.409748990804937e-05
15,9.0,0.0004990469999484048,0.0,1.184776416473767e-05
16,17.0,0.0008746119999614166,0.0,5.923882082368862e-06
17,16.0,0.0008712990000958598,0.0,-0.00026194669263396027
18,44.0,0.0022567040000467387,0.0,-0.00011226823573508895
19,15.0,0.000786367999921822,0.0,2.961941041184431e-06
20,12.0,0.0006399970000074973,0.0,-0.0003117294267105855
21,86.0,0.004179103999945255,0.0,0.0001184323548323307
22,13.0,0.0006869799999549286,0.0,0.00013905367278256798
23,22.0,0.0011613299999453375,0.0,5.921617741616535e-05
24,69.0,0.003348463000065749,0.0,-0.00017814081397688023
25,40.0,0.0020082349999483995,0.0,8.929725268736323e-05
26,22.0,0.0011441629999353609,0.0,-0.00023597224246968266
27,5.0,0.0003599049999820636,0.0,4.4648626343681615e-05
28,57.0,0.0028229129999317593,0.0,-3.1468751104639034e-05
29,68.0,0.00329545700003564,0.0,6.107212790461877e-05
30,39.0,0.0019172800000433199,0.0,0.00019209799763394574
31,21.0,0.0011200699999562858,0.0,0.00012197149298686557
32,22.0,0.0011176599999771497,0.0,0.00032885332486614916
33,35.0,0.0017769330000874106,0.0,-0.0005767091072677404
34,23.0,0.0011553069999763466,0.0,0.00017803684162156358
35,6.0,0.0003499649999412213,0.0,8.901842081078179e-05
36,8.0,0.0004442340000423428,0.0,4.4509210405390895e-05
37,54.0,0.002671422000048551,0.0,9.547975682467702e-05
38,36.0,0.001779943999963507,0.0,-0.000413425495738911
39,10.0,0.000544825000019955,0.0,0.00019157258539032626
40,9.0,0.0005354889999580337,0.0,9.578629269516313e-05
41,12.0,0.000630961000069874,0.0,0.00012262540718936535
42,11.0,0.0006433089999973163,0.0,4.7893146347581565e-05
43,48.0,0.002378077999992456,0.0,2.394657317379077e-05
44,16.0,0.0008279300000140211,0.0,0.00013828751709021154
45,30.0,0.0014902140000003783,0.0,-4.374044020769111e-05
46,19.0,0.0009664699999802906,0.0,6.914375854510577e-05
47,42.0,0.002178699000069173,0.0,-0.0003279145741846991
48,11.0,0.0006363830000282178,0.0,0.00019588363372015447
49,55.0,0.0027268379999441095,0.0,-0.00022281172459427364
50,83.0,0.004026407999958792,0.0,-2.1870220103845583e-05
51,35.0,0.0019332419999500416,0.0,0.00030399219363460347
52,17.0,0.0009231010000121387,0.0,0.00017371533570070997
53,63.0,0.0030906580000191752,0.0,1.5762319029344394e-05
54,26.0,0.001346552999962114,0.0,0.00015252468271476983
55,10.0,0.0005445240000199192,0.0,0.00020132076587479257
56,5.0,0.0003186430000141627,0.0,0.00010066038293739629
57,106.0,0.005157319999966603,0.0,0.0002209423735998654
58,40.0,0.0019540229999392977,0.0,-8.907040698844014e-05
59,44.0,0.002196468999954959,0.0,-0.00046207833512880057
60,13.0,0.0006848709999758285,0.0,0.000204763652648916
61,54.0,0.0026391960000182735,0.0,-0.000352971381181893
62,37.0,0.0018278310000141573,0.0,-0.0003123087151754124
63,16.0,0.0008324479999828327,0.0,-1.5734375552319544e-05
64,40.0,0.002075396999998702,0.0,0.00018240464492083776
65,53.0,0.002619619000029161,0.0,-0.00023103916756440023
66,24.0,0.0012056030000167084,0.0,0.00016770212380129066
67,12.0,0.0006399970000074973,0.0,-6.196996730332006e-05
68,25.0,0.0012522859999535285,0.0,0.0001848074564925528
69,130.0,0.0062939550000464806,0.0,0.00017114988051866308
70,16.0,0.0008688890000030369,0.0,-5.4928386606037345e-05
71,16.0,0.0008261230000243813,0.0,0.00020884949204128436
72,62.0,0.003037349000010181,0.0,-0.00016395728709234957
73,13.0,0.0006872809999549645,0.0,0.0001585420584301098
74,39.0,0.0019516140000632731,0.0,-6.6710180084889e-05
75,26.0,0.001340830999993159,0.0,-4.453520349422007e-05
76,19.0,0.0009694819999594984,0.0,0.00011511892305338231
77,22.0,0.0011598249999451582,0.0,-0.00024347502691558792
78,6.0,0.0003948399998989771,0.0,0.00020993044594889792
79,17.0,0.0008734079999612732,0.0,4.5109085439393724e-05
80,6.0,0.00034785700006523257,0.0,0.00010496522297444896
81,11.0,0.0005851829999983238,0.0,0.0002129743704187477
82,14.0,0.0007306510000262278,0.0,0.00024130465146726614
83,15.0,0.0008225090000451019,0.0,0.00012065232573363308
84,12.0,0.000640599000007569,0.0,6.032616286681653e-05
85,6.0,0.00035207400003400835,0.0,0.00024367693065899119
86,7.0,0.0004032739999502155,0.0,0.00019086293787950087
87,18.0,0.0009264139999913823,0.0,0.00012183846532949559
88,20.0,0.0010616419999678328,0.0,2.2554542719696862e-05
89,20.0,0.0010182720000102563,0.0,0.00012829088761054228
90,35.0,0.0018805360000442306,0.0,0.00014237642646085236
91,33.0,0.0016359820000388936,0.0,0.00019599430396696646
92,40.0,0.001966069999980391,0.0,8.330802534023998e-05
93,14.0,0.0007731169999942722,0.0,7.118821323042618e-05
94,39.0,0.0019522170000527694,0.0,0.00020536633931644694
95,4.0,0.00025931199991191534,0.0,0.00021508901861412317
96,11.0,0.0006005429999049738,0.0,-3.3355090042444524e-05
97,19.0,0.0009676749999698586,0.0,0.00013365038054804766
98,21.0,0.0010607379999783006,0.0,-2.2267601747110008e-05
99,12.0,0.0006785470000068017,0.0,-1.6677545021222262e-05
100,10.0,0.000540308000040568,0.0,-1.1133800873555004e-05
101,9.0,0.0004990470000620917,0.0,0.00017091009255455362
102,11.0,0.0005915070000810374,0.0,6.091923266474781e-05
103,14.0,0.0007291440000471994,0.0,1.1277271359848458e-05
104,4.0,0.00025539700004628685,0.0,3.0459616332373905e-05
105,33.0,0.0016233329999977286,0.0,8.545504627727684e-05
106,6.0,0.0003481579999515816,0.0,4.272752313863842e-05
107,24.0,0.0012537910000673946,0.0,0.00015702925191788222
108,9.0,0.0004951319999690895,0.0,0.00013290839921574726
109,35.0,0.001728443000047264,0.0,0.00016065400246377564
110,10.0,0.0005827740000086123,0.0,8.032700123188782e-05
111,30.0,0.00148388899992824,0.0,0.00018042894491690327
112,61.0,0.003046686000061527,0.0,0.00010268316965822346
113,24.0,0.0012158440000575865,0.0,0.00023935864799852008
114,8.0,0.0004478480000216223,0.0,2.136376156931921e-05
115,46.0,0.0023003740000149264,0.0,0.0001644266624330746
116,19.0,0.0010149599999067505,0.0,0.00024881132963957794
117,10.0,0.0005433189999166643,0.0,0.0002186532801472136
118,38.0,0.0018784279999408682,0.0,5.1387790244956076e-05
119,18.0,0.0009206920000224272,0.0,-3.098498365166003e-05
120,40.0,0.002009438999948543,0.0,0.0002802425717450032
121,69.0,0.003363822999972399,0.0,-0.00022540209062596272
122,20.0,0.0010495950000404264,0.0,8.363534229308413e-05
123,30.0,0.0014902130000109537,0.0,0.00021191069480464987
124,24.0,0.0011989780000476458,0.0,0.00015401032875895064
125,59.0,0.0028430919999209436,0.0,0.00020794441114811425
126,5.0,0.0003020789999936824,0.0,0.00010397220557405713
127,34.0,0.0017308520000369754,0.0,-0.0004438288037318902
128,28.0,0.0014341960001047482,0.0,0.00011580682978041477
129,6.0,0.00035056799993071763,0.0,0.00021256773604320906
130,19.0,0.0009679760000835813,0.0,0.00014685572156616277
131,18.0,0.0009167759999400005,0.0,7.342786078308136e-05
132,29.0,0.0015001519999486845,0.0,0.000124405664819789
133,26.0,0.001296257000035439,0.0,7.700516437947531e-05
134,9.0,0.0005385010000509283,0.0,9.331253124576566e-05
135,16.0,0.0008225090000451019,0.0,0.00016373163943217363
136,8.0,0.0004496540000218374,0.0,0.00019226852800003524
137,61.0,0.0030548179998959313,0.0,-0.0003772846749705323
138,51.0,0.0025464340000098673,0.0,-0.0005964405209010091
139,16.0,0.0008809360000441302,0.0,0.00017016144499157739
140,72.0,0.0035237470000311077,0.0,0.0001566927148750961
141,23.0,0.001201989000037429,0.0,0.00023569299340719257
142,30.0,0.001536594999947738,0.0,0.00023062531700135698
143,10.0,0.0005382000000508924,0.0,0.00018173239623485036
144,17.0,0.0008673840000028576,0.0,8.186581971608681e-05
145,39.0,0.0019483009999703427,0.0,0.00014012128587250156
146,7.0,0.00039755099999183585,0.0,0.00024234385198864614
147,10.0,0.0005948210000497056,0.0,0.00012117192599432307
148,30.0,0.00153538999995817,0.0,-2.8140072458778247e-06
149,15.0,0.0007800430000770575,0.0,0.0001508856470529959
150,43.0,0.002105815999925653,0.0,0.0001686097584172359
151,16.0,0.0008312429999932647,0.0,5.790341489020741e-05
152,8.0,0.0004478470000321977,0.0,4.665626562288283e-05
153,14.0,0.0007387819999848944,0.0,0.00021229312407413823
154,9.0,0.0005032630000414429,0.0,0.00010614656203706912
155,17.0,0.0008788279999407678,0.0,0.0002017493741126742
156,13.0,0.0006875820000686872,0.0,0.00017165351228296205
157,29.0,0.0014796719999594643,0.0,0.00020798129624053426
158,30.0,0.0015085849998968115,0.0,0.0001474965861370077
159,14.0,0.0007357709999951112,0.0,7.374829306850387e-05
160,10.0,0.0005460300000095231,0.0,0.0001585898350659624
161,46.0,0.002300976000014998,0.0,2.33281328114414e-05
162,16.0,0.0008309420001069157,0.0,0.00023737704091560317
163,19.0,0.0009688799999594266,0.0,6.220283240989451e-05
164,14.0,0.0007764289999840912,0.0,-1.4070036229389124e-06
165,8.0,0.0004469440000320901,0.0,0.0002100500809571258
166,14.0,0.0007261330000574162,0.0,0.00017322209332765951
167,6.0,0.00035056799993071763,0.0,0.00021539561096678992
168,9.0,0.0004918189999898459,0.0,0.00018134552985340043
169,19.0,0.0010104419999379388,0.0,1.16640664057207e-05
170,21.0,0.0010550160000093456,0.0,0.00023619943250809765
171,54.0,0.002612994000060098,0.0,0.00020632229993523972
172,23.0,0.001151993999997103,0.0,0.00024520462930944706
173,35.0,0.0017169980000062424,0.0,9.067276492670022e-05
174,4.0,0.0002909350000663835,0.0,0.00018981805439575224
175,21.0,0.0010649539999576518,0.0,7.834635743754806e-05
176,90.0,0.00438209599997208,0.0,-0.000355759796164587
177,5.0,0.0003065959999730694,0.0,0.0002455744961688762
178,33.0,0.0016326689999459632,0.0,0.00023530203191950497
179,6.0,0.00035538600002382736,0.0,0.00012278724808443813
180,4.0,0.00025599900004635856,0.0,6.139362404221908e-05
181,12.0,0.0006433089999973163,0.0,3.069681202110954e-05
182,6.0,0.00035056800004440447,0.0,0.0001977081936213774
183,41.0,0.0019998020000002725,0.0,4.5336382463350095e-05
184,4.0,0.00025328900005661126,0.0,0.0001282380786530493
185,60.0,0.002933142999950178,0.0,6.411903932652464e-05
186,35.0,0.001831143999993401,0.0,-0.00011551958378220011
187,6.0,0.00042736800003240205,0.0,0.00021721100411199295
188,49.0,0.0024057849999508107,0.0,0.00024731603766140376
189,8.0,0.00044935300002180156,0.0,0.00012365801883070188
190,33.0,0.0016688099999555561,0.0,0.00021552064678149622
191,109.0,0.005305197000097905,0.0,-0.0006733429746485087
192,22.0,0.0011059150000392037,0.0,0.00018289051677001535
193,20.0,0.001005623999958516,0.0,0.000228479493360958
194,32.0,0.001618815000028917,0.0,0.00020168381381595018
195,15.0,0.0008279300000140211,0.0,0.0002106220447055257
196,78.0,0.0037932989999944766,0.0,-0.0005462970876243443
197,8.0,0.00044453500004237867,0.0,0.00023203262167008454
198,14.0,0.000729445999922973,0.0,0.00020538664881113416
199,25.0,0.0012950519999321841,0.0,0.0002628710407755245
200,115.0,0.0055870969999887166,0.0,0.00010269332440556708
201,24.0,0.0012013870000373572,0.0,0.00016587529695343686
202,37.0,0.0018203020000555625,0.0,-0.00011794686262291013
203,29.0,0.0015302699999892866,0.0,1.612675101369975e-05
204,50.0,0.0024437329999500434,0.0,0.000269163459578739
205,20.0,0.0010176709999996092,0.0,0.00016008135723949313
206,17.0,0.0009146679999503249,0.0,0.00013137685322977264
207,17.0,0.0008758169999509846,0.0,-6.468874104753332e-05
208,34.0,0.001729347000036796,0.0,0.00024762345018827564
209,16.0,0.000823413000034634,0.0,0.0001238117250941378
210,4.0,0.0002581069999223473,0.0,0.0002511413942180261
211,52.0,0.0025322789999790984,0.0,0.00023695511880828825
212,23.0,0.0011616320000484848,0.0,5.134666220278351e-05
213,42.0,0.0021654480000279364,0.0,6.568842661488632e-05
214,18.0,0.0009673739999698228,0.0,0.00015898779067484176
215,10.0,0.0005451260000199909,0.0,0.00013259748965350045
216,59.0,0.0028539340000861557,0.0,0.0001863283957071239
217,8.0,0.00044754600003216183,0.0,9.316419785356195e-05
218,19.0,0.0011468750000176442,0.0,0.00024216556934930563
219,7.0,0.00039965999997093604,0.0,4.6582098926780974e-05
220,4.0,0.0002556970000568981,0.0,0.00024577953294984035
221,16.0,0.0008306410001068798,0.0,2.3291049463390487e-05
222,6.0,0.00035116999993078934,0.0,1.164552473169523e-05
223,58.0,0.002850921999993261,0.0,0.00011847755940414413
224,9.0,0.0005400070000405321,0.0,0.00017454153463090694
225,19.0,0.0009673739999698228,0.0,0.00012108278467465281
226,20.0,0.0010122490000412654,0.0,0.00012288976647492018
227,11.0,0.0006312630000593344,0.0,0.00015976613191615016
228,8.0,0.00044393200005288236,0.0,7.98830659580751e-05
229,23.0,0.0011604279999346545,0.0,6.144488323746007e-05
230,4.0,0.00025509499994313956,0.0,3.072244161873004e-05
231,29.0,0.0014417249999496562,0.0,6.629874482675022e-05
232,28.0,0.0013914279999198698,0.0,0.00023515769163275397
233,6.0,0.00035207400003400835,0.0,0.00024245595680919474
234,24.0,0.00121012099998552,0.0,0.00021414059885774172
235,74.0,0.003659276000007594,0.0,-0.0003366714873242544
236,50.0,0.0024804770000628196,0.0,0.00012557499105831515
237,13.0,0.0006860770000685079,0.0,0.00015329531538071242
238,8.0,0.0004448349999393031,0.0,7.664765769035622e-05
239,19.0,0.0009625550000009753,0.0,0.00021748435241374992
240,24.0,0.0012592120000363138,0.0,2.567333110139173e-05
241,38.0,0.0018618640000340747,0.0,2.895170744510368e-05
242,22.0,0.0011522949999971388,0.0,0.00013458172978936947
243,17.0,0.0008746119999614166,0.0,0.00021882043929054618
244,7.0,0.00039755099999183585,0.0,0.00024341240912102344
245,14.0,0.0007689000000254964,0.0,0.00012170620456051172
246,22.0,0.0011655480000172247,0.0,0.00021160260653058208
247,55.0,0.0026563629999145633,0.0,0.0002843518068672002
248,37.0,0.0018103630000041449,0.0,0.00023226415119136803
249,14.0,0.0007327590000159034,0.0,0.0002517869726360913
250,15.0,0.0008216060000449943,0.0,1.4931850539528222e-05
251,23.0,0.0011628370000380528,0.0,0.00012589348631804564
252,34.0,0.0016736290000380905,0.0,0.0002523962046799958
253,24.0,0.0011992779999445702,0.0,0.00018339452908042376
254,34.0,0.0017148900000165668,0.0,6.729086489468475e-05
255,9.0,0.0004924209999899176,0.0,9.16972645402119e-05
256,11.0,0.0006514410000590942,0.0,0.00013568762537435918
257,53.0,0.0026220300001114083,0.0,0.00010627231027537516
258,10.0,0.0005848819999982879,0.0,0.00019149492815010984
259,29.0,0.0014450369999394752,0.0,0.00024114322160418103
260,10.0,0.0005463310000095589,0.0,0.0001483649557193472
261,13.0,0.000733662000016011,0.0,0.00021769111921432895
262,49.0,0.0024362049999808733,0.0,3.3645432447342374e-05
263,32.0,0.0015868909999880998,0.0,6.784381268717959e-05
264,11.0,0.000588193999988107,0.0,0.0002386622106846448
265,19.0,0.0010128520000307617,0.0,0.00023609994236649983
266,12.0,0.0006339730000490817,0.0,0.00013288859544026516
267,17.0,0.0008755159999509488,0.0,2.489159693472927e-05
268,21.0,0.001100192000080824,0.0,0.00018773413031373626
269,9.0,0.0004933249999794498,0.0,9.386706515686816e-05
270,11.0,0.0005872909999879994,0.0,0.0001193311053423224
271,5.0,0.00030358399999386165,0.0,0.0002522645340666615
272,26.0,0.001290534999952797,0.0,0.00021466400510075298
273,7.0,0.00046200200006296654,0.0,0.00014983349343042533
274,11.0,0.0005863879999878918,0.0,6.64442977201326e-05
275,13.0,0.000683366000089336,0.0,0.0001506707773362255
276,10.0,0.0005381999999372056,0.0,0.00015765395755973414
277,9.0,0.0004924219999793422,0.0,7.882697877986707e-05
278,16.0,0.0008652750000237575,0.0,0.00018865120501424955
279,37.0,0.001867285000002994,0.0,3.32221488600663e-05
280,27.0,0.0013450479999619347,0.0,0.00019567385586552997
281,21.0,0.0010646540000607274,0.0,0.0002330229597851557
282,17.0,0.0009110539999710454,0.0,3.941348938993355e-05
283,46.0,0.0022931469999321052,0.0,0.00013974783850787158
284,6.0,0.0003529780000235405,0.0,0.0002495220546300486
285,8.0,0.0004526660000010452,0.0,1.2445798467364635e-05
286,9.0,0.0004936260000931725,0.0,0.00013736845292202222
287,22.0,0.0011080229999151925,0.0,0.00024314959032198727
288,65.0,0.0031785999999556225,0.0,0.00018627221154979845
289,12.0,0.0006339740000385063,0.0,0.00015353812080269233
290,24.0,0.0013034860000971094,0.0,0.0002069681467174802
291,53.0,0.002612390999956915,0.0,0.0001714218704405327
292,4.0,0.00025509499994313956,0.0,0.00016067472174037886
293,10.0,0.0005412110000406756,0.0,0.0001734803927674257
294,24.0,0.0011956650000684022,0.0,0.00017752150233183155
295,25.0,0.0013101119999419097,0.0,8.266842050205157e-05
296,41.0,0.002007933000072626,0.0,-1.2779112895407304e-05
297,5.0,0.0003047890000971165,0.0,0.00020601994780381
298,12.0,0.000633671999935359,0.0,8.876075116591578e-05
299,38.0,0.0018678870000030656,0.0,7.465925269764084e-06
