step,reward,mean,median,std,max,min
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.00390625,0.00026041666666666666,0.0,0.0009743899444723806,0.00390625,0.0
15,0.0,0.000244140625,0.0,0.0009455525747576702,0.00390625,0.0
16,0.0,0.00022977941176470588,0.0,0.0009191176470588236,0.00390625,0.0
17,0.0036900369003690036,0.0004220159389093891,0.0,0.0011941851531507108,0.00390625,0.0
18,0.0,0.00039980457370363177,0.0,0.0011661482063129742,0.00390625,0.0
19,0.0,0.0003798143450184502,0.0,0.0011399557591185063,0.00390625,0.0
20,0.0,0.00036172794763661924,0.0,0.001115419462385926,0.00390625,0.0
21,0.0,0.0003452857681985911,0.0,0.001092375884997594,0.00390625,0.0
22,0.0,0.0003302733434943045,0.0,0.001070682641159734,0.00390625,0.0
23,0.0,0.0003165119541820418,0.0,0.001050215171945366,0.00390625,0.0
24,0.0,0.00030385147601476016,0.0,0.0010308640725464474,0.00390625,0.0
25,0.0,0.0002921648807834232,0.0,0.0010125328699686722,0.00390625,0.0
26,0.0,0.0002813439592729261,0.0,0.0009951361707726608,0.00390625,0.0
27,0.0,0.00027129596072746444,0.0,0.0009785981123888365,0.00390625,0.0
28,0.0,0.00026194092759893115,0.0,0.0009628510636358261,0.00390625,0.0
29,0.0,0.00025320956334563344,0.0,0.0009478345302054624,0.00390625,0.0
30,0.0,0.00024504151291512914,0.0,0.0009334942291920575,0.00390625,0.0
31,0.0,0.00023738396563653138,0.0,0.0009197813034911896,0.00390625,0.0
32,0.0,0.00023019051213239407,0.0,0.0009066516523380986,0.00390625,0.0
33,0.0,0.00022342020295202953,0.0,0.0008940653586390157,0.00390625,0.0
34,0.0,0.00021703676858197154,0.0,0.0008819861972763072,0.00390625,0.0
35,0.0,0.00021100796945469456,0.0,0.0008703812114103722,0.00390625,0.0
36,0.0,0.00020530505136132443,0.0,0.0008592203460955607,0.00390625,0.0
37,0.0,0.00019990228685181589,0.0,0.0008484761303843906,0.00390625,0.0
38,0.0,0.00019477658718894882,0.0,0.0008381234006018948,0.00390625,0.0
39,0.0,0.0001899071725092251,0.0,0.0008281390586997895,0.00390625,0.0
40,0.0,0.00018527529025290254,0.0,0.0008185018606036139,0.00390625,0.0
41,0.0,0.00018086397381830962,0.0,0.0008091922302889494,0.00390625,0.0
42,0.0,0.00017665783489230241,0.0,0.0008001920960001074,0.00390625,0.0
43,0.0,0.00017264288409929554,0.0,0.000791484745584058,0.00390625,0.0
44,0.0,0.00016880637556375566,0.0,0.0007830546983759771,0.00390625,0.0
45,0.0,0.00016513667174715226,0.0,0.0007748875914583474,0.00390625,0.0
46,0.0,0.00016162312553976604,0.0,0.0007669700784372848,0.00390625,0.0
47,0.0,0.0001582559770910209,0.0,0.0007592897391491284,0.00390625,0.0
48,0.0,0.00015502626327283683,0.0,0.0007518349989365785,0.00390625,0.0
49,0.0,0.00015192573800738008,0.0,0.0007445950563243154,0.00390625,0.0
50,0.0,0.0001489468019680197,0.0,0.0007375598180851444,0.00390625,0.0
51,0.0,0.0001460824403917116,0.0,0.0007307198408243037,0.00390625,0.0
52,0.0,0.00014332616793149064,0.0,0.0007240662783257003,0.00390625,0.0
53,0.001310615989515072,0.00016494264610896435,0.0,0.0007343899903657052,0.00390625,0.0
54,0.0,0.0001619436889069832,0.0,0.0007280167199607609,0.00390625,0.0
55,0.0,0.0001590518373193585,0.0,0.0007218059740170619,0.00390625,0.0
56,0.0,0.00015626145420849255,0.0,0.0007157509865732163,0.00390625,0.0
57,0.0,0.00015356729120489786,0.0,0.0007098453779027353,0.00390625,0.0
58,0.0,0.00015096445576074705,0.0,0.0007040831267524426,0.00390625,0.0
59,0.0,0.00014844838149806792,0.0,0.0006984585449687726,0.00390625,0.0
60,0.0,0.00014601480147350944,0.0,0.0006929662542743831,0.00390625,0.0
61,0.0,0.00014365972403038833,0.0,0.0006876011649841795,0.00390625,0.0
62,0.0,0.0001413794109505409,0.0,0.0006823584564732141,0.00390625,0.0
63,0.0,0.00013917035765443868,0.0,0.0006772335592294183,0.00390625,0.0
64,0.0,0.00013702927522898578,0.0,0.0006722221383421232,0.00390625,0.0
65,0.0,0.00013495307408915267,0.0,0.0006673200782932004,0.00390625,0.0
66,0.0,0.0001329388491027474,0.0,0.0006625234689316064,0.00390625,0.0
