params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""discount_factor"": 0.0}",2.379401860999998,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.1}",2.462213835,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.2}",2.4108035680000057,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.3}",2.3149585469999963,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.4}",2.360159791000001,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.5}",2.3780655469999914,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.6}",2.416785504999993,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.7}",2.4600658550000105,100,0.0,0.0,0.0,0.0,0.0
"{""discount_factor"": 0.8}",2.5566930269999943,100,0.0001187426194032918,0.0,0.0,0.00390625,0.000616344988042739
"{""discount_factor"": 0.9}",2.751533357000014,100,0.0008855623029726689,0.0,0.0,0.010416666666666666,0.0022301724091696854
